model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,sl,0,sum,cosine,0.21815141445560837,2.140640416999304
static,bert-base-multilingual-cased,sl,1,sum,cosine,0.14906364538513162,1.9000917080002182
static,bert-base-multilingual-cased,sl,2,sum,cosine,0.20787035055923153,1.8679937910001172
static,bert-base-multilingual-cased,sl,3,sum,cosine,0.2499698123584766,1.869405249999545
static,bert-base-multilingual-cased,sl,4,sum,cosine,0.236190441480278,1.9791431249996094
static,bert-base-multilingual-cased,sl,5,sum,cosine,0.27188356674366854,1.9204556660006347
static,bert-base-multilingual-cased,sl,6,sum,cosine,0.2436142194873221,1.8131542090004586
static,bert-base-multilingual-cased,sl,7,sum,cosine,0.25931844428867934,1.8631846250000308
static,bert-base-multilingual-cased,sl,8,sum,cosine,0.31644475975075936,2.526971250000315
static,bert-base-multilingual-cased,sl,9,sum,cosine,0.3015413449964699,2.084703083000022
static,bert-base-multilingual-cased,sl,10,sum,cosine,0.2985908167181942,1.9129066250006872
static,bert-base-multilingual-cased,sl,11,sum,cosine,0.30236264085383846,1.8768103749998772
static,bert-base-multilingual-cased,sl,12,sum,cosine,0.292856022743365,2.0160105420000036
static,bert-base-multilingual-cased,sl,13,sum,cosine,0.26762020763181016,1.892593499999748
static,bert-base-multilingual-cased,sl,14,sum,cosine,0.2745217327381162,1.8382421669994073
static,bert-base-multilingual-cased,sl,15,sum,cosine,0.25847196235143977,1.8433237079998435
static,bert-base-multilingual-cased,sl,16,sum,cosine,0.250202999632657,1.8699644169992098
static,bert-base-multilingual-cased,sl,17,sum,cosine,0.2547306795369775,1.8261307920001855
static,bert-base-multilingual-cased,sl,18,sum,cosine,0.2709985723613155,1.9595587909998358
static,bert-base-multilingual-cased,sl,19,sum,cosine,0.2774745352889144,1.942872874999921
static,bert-base-multilingual-cased,sl,20,sum,cosine,0.267440227627741,1.8249848750001547
static,bert-base-multilingual-cased,sl,21,sum,cosine,0.2619923313734389,1.8629025000000183
static,bert-base-multilingual-cased,sl,22,sum,cosine,0.2567385453274711,1.8449831249999988
static,bert-base-multilingual-cased,sl,23,sum,cosine,0.2499200695861148,1.9690259579992926
static,bert-base-multilingual-cased,sl,24,sum,cosine,0.24572062681236095,1.8342691249999916
static,bert-base-multilingual-cased,sl,25,sum,cosine,0.245467590976709,1.850644457999806
static,bert-base-multilingual-cased,sl,26,sum,cosine,0.25007608222664357,1.8278506669994385
static,bert-base-multilingual-cased,sl,27,sum,cosine,0.23794320118424173,1.833852540999942
static,bert-base-multilingual-cased,sl,28,sum,cosine,0.22261051892840011,1.8368105419995118
static,bert-base-multilingual-cased,sl,29,sum,cosine,0.20567846859865246,1.8607383340004162
static,bert-base-multilingual-cased,sl,30,sum,cosine,0.2043540841864212,1.9044684999998935
static,bert-base-multilingual-cased,sl,31,sum,cosine,0.19268487234338738,1.8308693749995655
static,bert-base-multilingual-cased,sl,32,sum,cosine,0.17928912099617822,1.84777962499993
static,bert-base-multilingual-cased,sl,33,sum,cosine,0.17037673124753405,1.893490749999728
static,bert-base-multilingual-cased,sl,34,sum,cosine,0.15574006256857353,1.8463900420001664
static,bert-base-multilingual-cased,sl,35,sum,cosine,0.1438057607542731,1.8389760829995794
static,bert-base-multilingual-cased,sl,36,sum,cosine,0.13589091265725473,1.817588375000014
static,bert-base-multilingual-cased,sl,37,sum,cosine,0.13090239803464865,1.840960042000006
static,bert-base-multilingual-cased,sl,38,sum,cosine,0.11877104931469895,1.805696583000099
static,bert-base-multilingual-cased,sl,39,sum,cosine,0.10428562169433986,1.8341428329995324
static,bert-base-multilingual-cased,sl,40,sum,cosine,0.09087274192225758,1.8558180840000205
static,bert-base-multilingual-cased,sl,41,sum,cosine,0.089372399986402,1.8293193329991482
static,bert-base-multilingual-cased,sl,42,sum,cosine,0.0892049219955332,1.8393213330000435
static,bert-base-multilingual-cased,sl,43,sum,cosine,0.0811547548070084,1.8913071669994679
static,bert-base-multilingual-cased,sl,44,sum,cosine,0.08225275204944704,1.842846040999575
static,bert-base-multilingual-cased,sl,45,sum,cosine,0.07964054996606429,1.8492052089995923
static,bert-base-multilingual-cased,sl,46,sum,cosine,0.078927586338568,1.8398746670000037
static,bert-base-multilingual-cased,sl,47,sum,cosine,0.0745774700600409,1.825320875000216
static,bert-base-multilingual-cased,sl,48,sum,cosine,0.05973566325440127,1.8448875000003682
static,bert-base-multilingual-cased,sl,49,sum,cosine,0.05292747053388214,1.82090666699969
