model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,sl,0,prod,cosine,0.7948685621676193,2.828305625007488
contextual,bert-base-multilingual-cased,sl,1,prod,cosine,0.8134867421273716,2.8098719580011675
contextual,bert-base-multilingual-cased,sl,2,prod,cosine,0.5063596658494243,2.924106334001408
contextual,bert-base-multilingual-cased,sl,3,prod,cosine,0.8304560586508998,2.938345083006425
contextual,bert-base-multilingual-cased,sl,4,prod,cosine,-0.3148477459925487,2.876272291992791
contextual,bert-base-multilingual-cased,sl,5,prod,cosine,0.6852682379502871,2.858429084008094
contextual,bert-base-multilingual-cased,sl,6,prod,cosine,-0.2192573336241696,2.9207577500055777
contextual,bert-base-multilingual-cased,sl,7,prod,cosine,0.6608203780820485,2.7959998750011437
contextual,bert-base-multilingual-cased,sl,8,prod,cosine,-0.3737215177019719,2.8820436669921037
contextual,bert-base-multilingual-cased,sl,9,prod,cosine,0.6203783159158484,2.8600219159998232
contextual,bert-base-multilingual-cased,sl,10,prod,cosine,-0.976538490401864,2.8326593749952735
contextual,bert-base-multilingual-uncased,sl,0,prod,cosine,0.7636689974773688,2.6451529170008143
contextual,bert-base-multilingual-uncased,sl,1,prod,cosine,0.7601098149758907,2.6004662079940317
contextual,bert-base-multilingual-uncased,sl,2,prod,cosine,-0.3907352126716523,2.6841629999980796
contextual,bert-base-multilingual-uncased,sl,3,prod,cosine,0.1651801832267563,2.825977750006132
contextual,bert-base-multilingual-uncased,sl,4,prod,cosine,-0.170807727340555,2.768647624994628
contextual,bert-base-multilingual-uncased,sl,5,prod,cosine,-0.1771647896097123,2.653017042001011
contextual,bert-base-multilingual-uncased,sl,6,prod,cosine,-0.1581527665141953,3.512508291998529
contextual,bert-base-multilingual-uncased,sl,7,prod,cosine,0.0002170980268625,2.6803029160073493
contextual,bert-base-multilingual-uncased,sl,8,prod,cosine,-0.0471345282911517,2.6582847090030555
contextual,bert-base-multilingual-uncased,sl,9,prod,cosine,0.0758766210367885,2.8410751670016907
contextual,bert-base-multilingual-uncased,sl,10,prod,cosine,0.0694869697533224,2.658412374992622
contextual,EMBEDDIA/crosloengual-bert,sl,0,prod,cosine,0.5763190063029374,2.317063416005112
contextual,EMBEDDIA/crosloengual-bert,sl,1,prod,cosine,0.6910712926427297,2.24895833399205
contextual,EMBEDDIA/crosloengual-bert,sl,2,prod,cosine,0.7972430672228873,2.415499209004338
contextual,EMBEDDIA/crosloengual-bert,sl,3,prod,cosine,0.4170446810923318,2.342446791997645
contextual,EMBEDDIA/crosloengual-bert,sl,4,prod,cosine,-0.3895451436573807,2.4938956659898395
contextual,EMBEDDIA/crosloengual-bert,sl,5,prod,cosine,0.3996595986394015,2.273414374998538
contextual,EMBEDDIA/crosloengual-bert,sl,6,prod,cosine,-0.403907624901564,2.840479000005871
contextual,EMBEDDIA/crosloengual-bert,sl,7,prod,cosine,0.5489407236377385,2.3305740840005456
contextual,EMBEDDIA/crosloengual-bert,sl,8,prod,cosine,0.2636676345388461,2.306173042001319
contextual,EMBEDDIA/crosloengual-bert,sl,9,prod,cosine,0.4364016778398527,2.4162594999943394
contextual,EMBEDDIA/crosloengual-bert,sl,10,prod,cosine,0.3666527417161206,2.345746250008233
