model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,fi,0,sum,cosine,0.1171259970670399,0.0831183559166675
static,bert-base-multilingual-cased,fi,1,sum,cosine,0.1469981013928433,0.06582444445833364
static,bert-base-multilingual-cased,fi,2,sum,cosine,0.2991161184779507,0.06707737150001473
static,bert-base-multilingual-cased,fi,3,sum,cosine,0.3939963867577349,0.06386157291668344
static,bert-base-multilingual-cased,fi,4,sum,cosine,0.2162625287716502,0.06536709545832764
static,bert-base-multilingual-cased,fi,5,sum,cosine,0.2495715119701669,0.0648827013750027
static,bert-base-multilingual-cased,fi,6,sum,cosine,0.2643378536535943,0.0634391024583465
static,bert-base-multilingual-cased,fi,7,sum,cosine,0.2508250696436613,0.0636418229166793
static,bert-base-multilingual-cased,fi,8,sum,cosine,0.3374558481787451,0.06457576562502254
static,bert-base-multilingual-cased,fi,9,sum,cosine,0.370659479419416,0.06355250350001522
static,bert-base-multilingual-cased,fi,10,sum,cosine,0.2801515641242154,0.06352393750000829
static,bert-base-multilingual-cased,fi,11,sum,cosine,0.2490218297661454,0.06533821008334446
static,bert-base-multilingual-cased,fi,12,sum,cosine,0.2498455386223513,0.0712517829999797
static,bert-base-multilingual-cased,fi,13,sum,cosine,0.2456306949669819,0.06461170833335927
static,bert-base-multilingual-cased,fi,14,sum,cosine,0.2526769880190441,0.06448555208332134
static,bert-base-multilingual-cased,fi,15,sum,cosine,0.2460981065535683,0.06658689758330638
static,bert-base-multilingual-cased,fi,16,sum,cosine,0.2409238918076552,0.06476980729166826
static,bert-base-multilingual-cased,fi,17,sum,cosine,0.2387062722970087,0.06500950170834585
static,bert-base-multilingual-cased,fi,18,sum,cosine,0.2444240479395907,0.06478600520832363
static,bert-base-multilingual-cased,fi,19,sum,cosine,0.2388788676797241,0.06458024479165185
static,bert-base-multilingual-cased,fi,20,sum,cosine,0.2247621496561846,0.06665866320834841
static,bert-base-multilingual-cased,fi,21,sum,cosine,0.2192277579045731,0.06585141491670281
static,bert-base-multilingual-cased,fi,22,sum,cosine,0.2204328528888246,0.06465028645834536
static,bert-base-multilingual-cased,fi,23,sum,cosine,0.2283523456934196,0.06482565104166345
static,bert-base-multilingual-cased,fi,24,sum,cosine,0.2248372585449867,0.06861301737501435
static,bert-base-multilingual-cased,fi,25,sum,cosine,0.2273030742967674,0.06517153295832638
static,bert-base-multilingual-cased,fi,26,sum,cosine,0.2486784344805795,0.06441559720830507
static,bert-base-multilingual-cased,fi,27,sum,cosine,0.2689498776277197,0.06440964583331758
static,bert-base-multilingual-cased,fi,28,sum,cosine,0.2929009816045801,0.06515571179166575
static,bert-base-multilingual-cased,fi,29,sum,cosine,0.3249913435123359,0.06689476733333777
static,bert-base-multilingual-cased,fi,30,sum,cosine,0.3467758543109733,0.06418782812500012
static,bert-base-multilingual-cased,fi,31,sum,cosine,0.3402243284470942,0.06339459374999024
static,bert-base-multilingual-cased,fi,32,sum,cosine,0.3623410541848331,0.0642584548333313
static,bert-base-multilingual-cased,fi,33,sum,cosine,0.3690076651889016,0.06458728299999923
static,bert-base-multilingual-cased,fi,34,sum,cosine,0.3497990448964523,0.06444413716667441
static,bert-base-multilingual-cased,fi,35,sum,cosine,0.3369896977324881,0.06571323958333626
static,bert-base-multilingual-cased,fi,36,sum,cosine,0.3336939137598949,0.06950696699997631
static,bert-base-multilingual-cased,fi,37,sum,cosine,0.3230532637757067,0.06635918404166812
static,bert-base-multilingual-cased,fi,38,sum,cosine,0.3082558566466326,0.06415738020833335
static,bert-base-multilingual-cased,fi,39,sum,cosine,0.3066836908413792,0.06474715795832253
static,bert-base-multilingual-cased,fi,40,sum,cosine,0.3061843493388962,0.0641746076249774
static,bert-base-multilingual-cased,fi,41,sum,cosine,0.2916251309518501,0.06406648266666555
static,bert-base-multilingual-cased,fi,42,sum,cosine,0.2968924921656264,0.06519247916666397
static,bert-base-multilingual-cased,fi,43,sum,cosine,0.2890275301112845,0.06745208854169961
static,bert-base-multilingual-cased,fi,44,sum,cosine,0.3018014181365528,0.06479461804167386
static,bert-base-multilingual-cased,fi,45,sum,cosine,0.2900744397407462,0.06701620312499774
static,bert-base-multilingual-cased,fi,46,sum,cosine,0.2865629643917384,0.06466628475000864
static,bert-base-multilingual-cased,fi,47,sum,cosine,0.2804437867999511,0.06365913887498209
static,bert-base-multilingual-cased,fi,48,sum,cosine,0.2558338645348955,0.06435920137497912
static,bert-base-multilingual-cased,fi,49,sum,cosine,0.2406451551124941,0.0638051718749845
static,bert-base-multilingual-cased,fi,50,sum,cosine,0.2352676093718939,0.06794427429167627
