model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,en,0,concat,cosine,0.5262751443287728,0.20907821090885964
contextual,bert-base-multilingual-cased,en,1,concat,cosine,0.5729400953507151,0.2225081745087878
contextual,bert-base-multilingual-cased,en,2,concat,cosine,0.5625865629584308,0.2187472751206181
contextual,bert-base-multilingual-cased,en,3,concat,cosine,0.5320282950850833,0.21743910049117404
contextual,bert-base-multilingual-cased,en,4,concat,cosine,0.5065213441524683,0.21707079840883073
contextual,bert-base-multilingual-cased,en,5,concat,cosine,0.4843733939814725,0.22359751225290786
contextual,bert-base-multilingual-cased,en,6,concat,cosine,0.4643580736846178,0.23416153884998708
contextual,bert-base-multilingual-cased,en,7,concat,cosine,0.4503359681108586,0.21247940943529317
contextual,bert-base-multilingual-cased,en,8,concat,cosine,0.4295621669902487,0.22085729681177113
contextual,bert-base-multilingual-cased,en,9,concat,cosine,0.419739151117791,0.21837715134705135
contextual,bert-base-multilingual-cased,en,10,concat,cosine,0.408807689123875,0.22892704227941815
contextual,bert-base-multilingual-uncased,en,0,concat,cosine,0.446697083345199,0.2301071398294452
contextual,bert-base-multilingual-uncased,en,1,concat,cosine,0.5570930008968854,0.22851060625000494
contextual,bert-base-multilingual-uncased,en,2,concat,cosine,0.5453246951577903,0.22825190282057842
contextual,bert-base-multilingual-uncased,en,3,concat,cosine,0.5146472951524886,0.23827380294113776
contextual,bert-base-multilingual-uncased,en,4,concat,cosine,0.5013717329479357,0.23052355661767412
contextual,bert-base-multilingual-uncased,en,5,concat,cosine,0.488356942985781,0.261800798285292
contextual,bert-base-multilingual-uncased,en,6,concat,cosine,0.4770481201162226,0.2545494839441209
contextual,bert-base-multilingual-uncased,en,7,concat,cosine,0.4651694942039863,0.22230777524412534
contextual,bert-base-multilingual-uncased,en,8,concat,cosine,0.4524462350995125,0.23400947046470452
contextual,bert-base-multilingual-uncased,en,9,concat,cosine,0.4365925546903959,0.22888697242648479
contextual,bert-base-multilingual-uncased,en,10,concat,cosine,0.4056312710833696,0.23800350355295985
contextual,EMBEDDIA/crosloengual-bert,en,0,concat,cosine,0.3939869727661118,0.23225081347940005
contextual,EMBEDDIA/crosloengual-bert,en,1,concat,cosine,0.5622908543450791,0.24143863799117218
contextual,EMBEDDIA/crosloengual-bert,en,2,concat,cosine,0.5536308248443194,0.2578191349264885
contextual,EMBEDDIA/crosloengual-bert,en,3,concat,cosine,0.5335646323016189,0.23222910551472417
contextual,EMBEDDIA/crosloengual-bert,en,4,concat,cosine,0.5134000009100581,0.2535851355411818
contextual,EMBEDDIA/crosloengual-bert,en,5,concat,cosine,0.5060418063415505,0.2595293578440974
contextual,EMBEDDIA/crosloengual-bert,en,6,concat,cosine,0.4941727143364318,0.24947972953527556
contextual,EMBEDDIA/crosloengual-bert,en,7,concat,cosine,0.4603503120818102,0.2459928389705858
contextual,EMBEDDIA/crosloengual-bert,en,8,concat,cosine,0.4365892503445995,0.2479264322323348
contextual,EMBEDDIA/crosloengual-bert,en,9,concat,cosine,0.4071804044860239,0.2457119007352637
contextual,EMBEDDIA/crosloengual-bert,en,10,concat,cosine,0.4071569308863235,0.24047759264705
contextual,bert-base-cased,en,0,concat,cosine,0.4327769945220148,0.22042130245001104
contextual,bert-base-cased,en,1,concat,cosine,0.5298743948983078,0.2309614671559008
contextual,bert-base-cased,en,2,concat,cosine,0.4937461053142731,0.22959524142061127
contextual,bert-base-cased,en,3,concat,cosine,0.4707906313300427,0.24607761299116915
contextual,bert-base-cased,en,4,concat,cosine,0.4652752656780078,0.23213691985297105
contextual,bert-base-cased,en,5,concat,cosine,0.4571182547373333,0.23594055367648253
contextual,bert-base-cased,en,6,concat,cosine,0.4379788467310266,0.23459458811176934
contextual,bert-base-cased,en,7,concat,cosine,0.4183828921151189,0.23681180539411692
contextual,bert-base-cased,en,8,concat,cosine,0.4141975780652633,0.22567056250002626
contextual,bert-base-cased,en,9,concat,cosine,0.3948535263644279,0.22649272279411567
contextual,bert-base-cased,en,10,concat,cosine,0.3971629496989162,0.23832359669117176
contextual,bert-base-uncased,en,0,concat,cosine,0.4883795649003549,0.24021238125000416
contextual,bert-base-uncased,en,1,concat,cosine,0.617100532337395,0.2731625030617579
contextual,bert-base-uncased,en,2,concat,cosine,0.5941718518493487,0.2670725723029189
contextual,bert-base-uncased,en,3,concat,cosine,0.5671402145839306,0.2522755663000092
contextual,bert-base-uncased,en,4,concat,cosine,0.5502821611438381,0.2454777142146828
