model,model_name,language,window,operation,similarity,score,time
pooled,bert-base-multilingual-cased,hr,0,sum,cosine,0.4529541782291725,28.273018083000352
pooled,bert-base-multilingual-cased,hr,1,sum,cosine,0.5477731612736396,28.09007512500102
pooled,bert-base-multilingual-cased,hr,2,sum,cosine,0.5564579439082985,27.484838542000944
pooled,bert-base-multilingual-cased,hr,3,sum,cosine,0.556343532313569,28.7900028749973
pooled,bert-base-multilingual-cased,hr,4,sum,cosine,0.5761396552831884,28.629637458001525
pooled,bert-base-multilingual-cased,hr,5,sum,cosine,0.5803398820831571,29.00662004199694
pooled,bert-base-multilingual-cased,hr,6,sum,cosine,0.5832799775368679,28.85639012500178
pooled,bert-base-multilingual-cased,hr,7,sum,cosine,0.578869504329136,31.43321816599928
pooled,bert-base-multilingual-cased,hr,8,sum,cosine,0.5676715243351996,29.601486667001154
pooled,bert-base-multilingual-cased,hr,9,sum,cosine,0.5552181959424087,29.758530915998563
pooled,bert-base-multilingual-cased,hr,10,sum,cosine,0.5483724144106522,29.862561165999068
pooled,bert-base-multilingual-uncased,hr,0,sum,cosine,0.4700566409195185,34.312809415998345
pooled,bert-base-multilingual-uncased,hr,1,sum,cosine,0.630816182240858,29.348462291000033
pooled,bert-base-multilingual-uncased,hr,2,sum,cosine,0.6155691386351065,31.875657625001622
pooled,bert-base-multilingual-uncased,hr,3,sum,cosine,0.6052085318572703,31.632451333000063
pooled,bert-base-multilingual-uncased,hr,4,sum,cosine,0.6262474267725225,31.07409341699895
pooled,bert-base-multilingual-uncased,hr,5,sum,cosine,0.6248066419453875,31.423357708001276
pooled,bert-base-multilingual-uncased,hr,6,sum,cosine,0.6194167283390614,32.498835708000115
pooled,bert-base-multilingual-uncased,hr,7,sum,cosine,0.6065756185362663,32.13999016700109
pooled,bert-base-multilingual-uncased,hr,8,sum,cosine,0.5931839562060083,33.546446167001704
pooled,bert-base-multilingual-uncased,hr,9,sum,cosine,0.5819145267361667,31.918167666000954
pooled,bert-base-multilingual-uncased,hr,10,sum,cosine,0.5770194245991455,30.22699391599963
pooled,EMBEDDIA/crosloengual-bert,hr,0,sum,cosine,0.49296735746275333,31.330923249999614
pooled,EMBEDDIA/crosloengual-bert,hr,1,sum,cosine,0.6966432026847111,31.487614584002586
pooled,EMBEDDIA/crosloengual-bert,hr,2,sum,cosine,0.7085072882903503,28.49867854200056
pooled,EMBEDDIA/crosloengual-bert,hr,3,sum,cosine,0.7171015652559589,29.92364699999962
pooled,EMBEDDIA/crosloengual-bert,hr,4,sum,cosine,0.7045498802068979,32.27637816599963
pooled,EMBEDDIA/crosloengual-bert,hr,5,sum,cosine,0.6908595503184694,31.90189916700183
pooled,EMBEDDIA/crosloengual-bert,hr,6,sum,cosine,0.6812832471126566,31.086383334000857
pooled,EMBEDDIA/crosloengual-bert,hr,7,sum,cosine,0.6668642840832527,28.45897799999875
pooled,EMBEDDIA/crosloengual-bert,hr,8,sum,cosine,0.6406325671528885,31.720594499998697
pooled,EMBEDDIA/crosloengual-bert,hr,9,sum,cosine,0.6150383657768714,28.90568120900207
pooled,EMBEDDIA/crosloengual-bert,hr,10,sum,cosine,0.5957787883439611,31.55793291699956
pooled,classla/bcms-bertic,hr,0,sum,cosine,0.4492353680311618,31.395186249999824
pooled,classla/bcms-bertic,hr,1,sum,cosine,0.6521214026844064,30.37988341700111
pooled,classla/bcms-bertic,hr,2,sum,cosine,0.6620733652792476,31.670846708999306
pooled,classla/bcms-bertic,hr,3,sum,cosine,0.6349829585497543,30.11454791700089
pooled,classla/bcms-bertic,hr,4,sum,cosine,0.616453889763811,30.248280416999478
pooled,classla/bcms-bertic,hr,5,sum,cosine,0.6061306513285752,30.592421792000096
pooled,classla/bcms-bertic,hr,6,sum,cosine,0.6037400115692368,31.392146666999906
pooled,classla/bcms-bertic,hr,7,sum,cosine,0.59657995851291,27.327258207998966
pooled,classla/bcms-bertic,hr,8,sum,cosine,0.5830687454643384,27.834919165998144
pooled,classla/bcms-bertic,hr,9,sum,cosine,0.5794661777616384,30.62332533299923
pooled,classla/bcms-bertic,hr,10,sum,cosine,0.5748719750039876,29.820586959001957
