sim_context1	sim_context2	change
0.333	1.97	1.637
10.0	9.44	-0.5600000000000005
9.1	7.92	-1.1799999999999997
5.0	5.42	0.41999999999999993
6.82	7.5	0.6799999999999997
4.62	6.67	2.05
4.26	5.97	1.71
6.15	3.96	-2.1900000000000004
8.33	4.44	-3.8899999999999997
3.5	1.36	-2.1399999999999997
2.08	4.26	2.1799999999999997
5.13	3.33	-1.7999999999999998
3.72	5.0	1.2799999999999998
6.54	7.5	0.96
2.05	6.88	4.83
1.21	4.0	2.79
0.385	0.37	-0.015000000000000013
7.56	5.83	-1.7299999999999995
7.95	2.96	-4.99
5.97	3.89	-2.0799999999999996
0.641	4.17	3.529
7.56	2.5	-5.06
5.13	4.79	-0.33999999999999986
8.61	5.74	-2.869999999999999
6.0	3.33	-2.67
4.1	5.0	0.9000000000000004
3.18	3.83	0.6499999999999999
1.92	3.33	1.4100000000000001
1.33	3.18	1.85
2.5	2.58	0.08000000000000007
9.62	9.79	0.16999999999999993
0.897	7.5	6.603
2.92	2.22	-0.6999999999999997
5.61	6.67	1.0599999999999996
5.9	5.19	-0.71
6.67	6.3	-0.3700000000000001
1.41	2.41	1.0000000000000002
7.31	0.741	-6.569
1.97	1.83	-0.1399999999999999
9.49	1.85	-7.640000000000001
6.79	8.52	1.7299999999999995
1.54	4.58	3.04
6.67	5.14	-1.5300000000000002
5.51	9.26	3.75
6.79	7.71	0.9199999999999999
7.67	2.88	-4.79
0.513	5.37	4.857
2.69	5.56	2.8699999999999997
1.85	9.17	7.32
1.53	5.0	3.4699999999999998
2.41	3.61	1.1999999999999997
4.44	2.96	-1.4800000000000004
7.44	6.48	-0.96
3.72	2.22	-1.5
5.0	3.33	-1.67
1.3	3.89	2.59
2.83	8.03	5.199999999999999
2.67	6.67	4.0
4.1	0.0	-4.1
5.93	1.94	-3.9899999999999998
4.74	3.33	-1.4100000000000001
3.33	3.61	0.2799999999999998
1.67	2.12	0.4500000000000002
4.49	2.29	-2.2
2.59	7.64	5.05
3.08	6.11	3.0300000000000002
9.23	8.33	-0.9000000000000004
7.42	0.5	-6.92
4.39	7.0	2.6100000000000003
3.94	3.67	-0.27
1.48	6.11	4.630000000000001
5.51	5.56	0.04999999999999982
0.641	4.44	3.7990000000000004
0.0	0.167	0.167
6.67	2.96	-3.71
4.23	6.67	2.4399999999999995
5.0	3.7	-1.2999999999999998
4.49	3.15	-1.3400000000000003
2.0	8.79	6.789999999999999
8.94	7.5	-1.4399999999999995
1.5	0.303	-1.197
7.78	6.25	-1.5300000000000002
9.1	5.93	-3.17
3.08	2.08	-1.0
5.83	3.18	-2.65
4.74	0.625	-4.115
4.49	5.83	1.3399999999999999
3.33	4.26	0.9299999999999997
1.67	5.0	3.33
2.82	0.556	-2.264
5.15	8.33	3.1799999999999997
1.21	1.67	0.45999999999999996
2.31	1.67	-0.6400000000000001
5.26	2.5	-2.76
4.03	9.26	5.2299999999999995
8.72	2.08	-6.640000000000001
3.89	2.96	-0.9300000000000002
5.3	4.33	-0.9699999999999998
3.33	3.33	0.0
2.05	2.71	0.6600000000000001
1.15	2.78	1.63
1.92	3.96	2.04
3.52	0.972	-2.548
2.5	3.79	1.29
1.11	2.5	1.39
0.897	0.0	-0.897
5.83	2.58	-3.25
9.44	6.3	-3.1399999999999997
9.1	7.78	-1.3199999999999994
1.79	3.52	1.73
2.69	5.42	2.73
3.48	5.33	1.85
