sim_context1	sim_context2	change
2.27	1.37	-0.8999999999999999
8.04	6.98	-1.0599999999999987
3.48	7.55	4.07
5.07	5.6	0.5299999999999994
6.97	7.35	0.3799999999999999
8.33	6.67	-1.6600000000000001
9.21	9.32	0.10999999999999943
2.5	4.05	1.5499999999999998
7.63	2.28	-5.35
7.42	8.5	1.08
8.64	8.81	0.16999999999999993
1.81	6.67	4.859999999999999
2.8	9.14	6.340000000000001
8.57	8.17	-0.40000000000000036
9.55	8.92	-0.6300000000000008
8.94	8.73	-0.20999999999999908
8.67	8.64	-0.02999999999999936
9.13	9.52	0.3899999999999988
1.83	6.67	4.84
3.94	4.21	0.27
1.75	3.26	1.5099999999999998
9.09	2.45	-6.64
2.41	3.98	1.5699999999999998
3.81	1.27	-2.54
7.0	8.94	1.9399999999999995
4.76	9.5	4.74
7.7	6.0	-1.7000000000000002
4.02	6.76	2.74
3.11	5.5	2.39
8.16	9.3	1.1400000000000006
8.26	3.41	-4.85
10.0	8.89	-1.1099999999999994
8.67	9.51	0.8399999999999999
2.81	7.89	5.08
8.56	7.55	-1.0100000000000007
1.98	1.67	-0.31000000000000005
5.19	3.7	-1.4900000000000002
4.29	3.33	-0.96
4.42	4.85	0.4299999999999997
4.76	4.7	-0.05999999999999961
9.62	8.46	-1.1599999999999984
7.73	3.02	-4.710000000000001
9.47	4.69	-4.78
7.68	7.54	-0.13999999999999968
1.67	4.37	2.7
4.63	4.91	0.28000000000000025
4.02	0.417	-3.6029999999999998
1.76	2.22	0.4600000000000002
7.22	1.29	-5.93
7.42	7.17	-0.25
7.83	8.49	0.6600000000000001
3.48	4.22	0.7399999999999998
6.16	9.76	3.5999999999999996
8.03	3.89	-4.139999999999999
7.64	4.2	-3.4399999999999995
1.6	2.64	1.04
8.17	9.75	1.58
7.46	3.51	-3.95
2.73	6.35	3.6199999999999997
8.65	4.76	-3.8900000000000006
8.71	8.14	-0.5700000000000003
4.49	8.57	4.08
9.92	8.58	-1.3399999999999999
2.3	3.73	1.4300000000000002
1.83	6.51	4.68
3.79	0.802	-2.988
5.2	4.86	-0.33999999999999986
5.1	6.59	1.4900000000000002
7.29	5.53	-1.7599999999999998
7.7	5.32	-2.38
8.24	8.8	0.5600000000000005
0.926	8.06	7.134
2.32	3.73	1.4100000000000001
8.56	6.08	-2.4800000000000004
9.37	5.67	-3.6999999999999993
6.96	1.03	-5.93
3.17	7.54	4.37
9.31	8.18	-1.1300000000000008
1.76	2.04	0.28
9.21	4.68	-4.530000000000001
2.5	2.47	-0.029999999999999805
6.04	6.2	0.16000000000000014
9.39	5.7	-3.6900000000000004
7.37	8.77	1.3999999999999995
7.9	4.76	-3.1400000000000006
4.29	6.29	2.0
4.12	4.85	0.7299999999999995
8.57	5.0	-3.5700000000000003
4.67	8.12	3.4499999999999993
2.86	3.48	0.6200000000000001
2.47	7.99	5.52
9.21	4.68	-4.530000000000001
2.97	7.06	4.09
7.47	4.31	-3.16
0.0	0.0694	0.0694
4.05	6.59	2.54
2.22	5.23	3.0100000000000002
6.5	5.3	-1.2000000000000002
8.6	7.54	-1.0599999999999996
2.75	3.81	1.06
8.77	7.3	-1.4699999999999998
3.56	7.42	3.86
5.97	8.73	2.7600000000000007
6.44	5.49	-0.9500000000000002
2.2	7.1	4.8999999999999995
1.43	1.9	0.47
4.0	8.71	4.710000000000001
7.78	8.58	0.7999999999999998
8.25	7.42	-0.8300000000000001
6.02	6.57	0.5500000000000007
8.64	6.54	-2.1000000000000005
3.98	2.87	-1.1099999999999999
8.6	9.12	0.5199999999999996
5.0	5.0	0.0
8.17	9.13	0.9600000000000009
8.07	9.56	1.4900000000000002
2.54	9.47	6.930000000000001
0.238	1.25	1.012
4.76	5.83	1.0700000000000003
9.83	9.09	-0.7400000000000002
8.17	7.62	-0.5499999999999998
7.35	7.72	0.3700000000000001
8.33	8.33	0.0
5.74	1.3	-4.44
5.61	2.92	-2.6900000000000004
3.26	6.83	3.5700000000000003
3.71	4.12	0.41000000000000014
7.98	9.91	1.9299999999999997
7.62	5.67	-1.9500000000000002
8.96	4.73	-4.23
7.01	3.73	-3.28
4.39	3.6	-0.7899999999999996
8.95	8.42	-0.5299999999999994
6.53	4.13	-2.4000000000000004
5.15	6.75	1.5999999999999996
4.44	5.48	1.04
4.39	5.35	0.96
4.72	5.46	0.7400000000000002
0.467	0.556	0.08900000000000002
5.94	8.49	2.55
6.51	7.58	1.0700000000000003
