model,model_name,language,window,operation,similarity,score,time
pooled,bert-base-multilingual-cased,sl,0,prod,cosine,0.4442674900279325,2.542937416001223
pooled,bert-base-multilingual-cased,sl,1,prod,cosine,0.5799820449057701,2.525747749983566
pooled,bert-base-multilingual-cased,sl,2,prod,cosine,0.1868685287884075,2.6570204999879934
pooled,bert-base-multilingual-cased,sl,3,prod,cosine,0.5799940151236677,2.6897940000053495
pooled,bert-base-multilingual-cased,sl,4,prod,cosine,0.0,2.6299602080252953
pooled,bert-base-multilingual-cased,sl,5,prod,cosine,-0.1742800250990597,2.672068042011233
pooled,bert-base-multilingual-cased,sl,6,prod,cosine,0.5799939763752403,2.876630374987144
pooled,bert-base-multilingual-cased,sl,7,prod,cosine,0.0,3.0261443329800386
pooled,bert-base-multilingual-cased,sl,8,prod,cosine,0.0,2.6612083329819143
pooled,bert-base-multilingual-cased,sl,9,prod,cosine,0.0,2.824905959016178
pooled,bert-base-multilingual-cased,sl,10,prod,cosine,0.0,2.866867208009353
pooled,bert-base-multilingual-uncased,sl,0,prod,cosine,0.5088718008510243,2.5397699160093907
pooled,bert-base-multilingual-uncased,sl,1,prod,cosine,0.8563913373429277,2.5225660410069395
pooled,bert-base-multilingual-uncased,sl,2,prod,cosine,-0.0313915317625526,2.747895166976378
pooled,bert-base-multilingual-uncased,sl,3,prod,cosine,0.9089201969333304,2.543419958004961
pooled,bert-base-multilingual-uncased,sl,4,prod,cosine,-0.5512866024079961,2.5305980000121053
pooled,bert-base-multilingual-uncased,sl,5,prod,cosine,0.0,2.8498322080122307
pooled,bert-base-multilingual-uncased,sl,6,prod,cosine,0.0063955972513416,2.7728260410076473
pooled,bert-base-multilingual-uncased,sl,7,prod,cosine,-0.0305259987565915,2.7680094159732107
pooled,bert-base-multilingual-uncased,sl,8,prod,cosine,-0.0495658786978976,2.6580049580079503
pooled,bert-base-multilingual-uncased,sl,9,prod,cosine,0.0,2.749995082995156
pooled,bert-base-multilingual-uncased,sl,10,prod,cosine,0.0,2.5615847499866504
pooled,EMBEDDIA/crosloengual-bert,sl,0,prod,cosine,0.8734077174118968,2.1492701249953825
pooled,EMBEDDIA/crosloengual-bert,sl,1,prod,cosine,0.5678082413322473,2.3043683750147466
pooled,EMBEDDIA/crosloengual-bert,sl,2,prod,cosine,0.63028023876177,2.274939833005192
pooled,EMBEDDIA/crosloengual-bert,sl,3,prod,cosine,-0.1256415769231822,2.531280249997508
pooled,EMBEDDIA/crosloengual-bert,sl,4,prod,cosine,-0.2613912293431277,2.2823660420253873
pooled,EMBEDDIA/crosloengual-bert,sl,5,prod,cosine,-0.2687180920607246,2.375961208017543
pooled,EMBEDDIA/crosloengual-bert,sl,6,prod,cosine,-0.5643004193123717,2.303939875011565
pooled,EMBEDDIA/crosloengual-bert,sl,7,prod,cosine,0.1490585251696858,2.2381321669963654
pooled,EMBEDDIA/crosloengual-bert,sl,8,prod,cosine,0.0,2.305658917000983
pooled,EMBEDDIA/crosloengual-bert,sl,9,prod,cosine,0.0,2.3400830419850536
pooled,EMBEDDIA/crosloengual-bert,sl,10,prod,cosine,0.4588841027837627,2.338440708001144
