model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,en,0,prod,cosine,0.641703316111315,3.2480367079988355
contextual,bert-base-multilingual-cased,en,1,prod,cosine,0.4719250569390901,3.6790990839945152
contextual,bert-base-multilingual-cased,en,2,prod,cosine,0.4899997481438396,3.7972420419973782
contextual,bert-base-multilingual-cased,en,3,prod,cosine,0.5033677660394701,3.9637281249888474
contextual,bert-base-multilingual-cased,en,4,prod,cosine,0.5087070388822894,3.7888240000029327
contextual,bert-base-multilingual-cased,en,5,prod,cosine,0.4258609634512145,4.080505250007263
contextual,bert-base-multilingual-cased,en,6,prod,cosine,0.5340895146449138,4.014804082995397
contextual,bert-base-multilingual-cased,en,7,prod,cosine,0.6182117423155077,4.2282380829856265
contextual,bert-base-multilingual-cased,en,8,prod,cosine,0.3431934455482448,3.911843708003289
contextual,bert-base-multilingual-cased,en,9,prod,cosine,0.434895216716745,4.031965500005754
contextual,bert-base-multilingual-cased,en,10,prod,cosine,0.4715051279553521,4.126032625004882
contextual,bert-base-multilingual-uncased,en,0,prod,cosine,0.2288375302531879,3.605571083011455
contextual,bert-base-multilingual-uncased,en,1,prod,cosine,0.3133594785517328,3.6387945000024047
contextual,bert-base-multilingual-uncased,en,2,prod,cosine,0.3862528958586955,3.8255686670017894
contextual,bert-base-multilingual-uncased,en,3,prod,cosine,0.20978142544397,3.987376125005539
contextual,bert-base-multilingual-uncased,en,4,prod,cosine,0.3049838231650756,4.107029749997309
contextual,bert-base-multilingual-uncased,en,5,prod,cosine,0.4749597467897137,3.9142462499876274
contextual,bert-base-multilingual-uncased,en,6,prod,cosine,0.7512916630113035,4.461044207986561
contextual,bert-base-multilingual-uncased,en,7,prod,cosine,0.7464007582196669,3.901414708001539
contextual,bert-base-multilingual-uncased,en,8,prod,cosine,0.7050712825460833,4.2745852090010885
contextual,bert-base-multilingual-uncased,en,9,prod,cosine,0.7536717718350882,4.056540457997471
contextual,bert-base-multilingual-uncased,en,10,prod,cosine,0.7806177515964835,3.93221258300764
contextual,EMBEDDIA/crosloengual-bert,en,0,prod,cosine,0.4653582254080337,3.38709087499592
contextual,EMBEDDIA/crosloengual-bert,en,1,prod,cosine,0.9038492617451084,3.781731583003421
contextual,EMBEDDIA/crosloengual-bert,en,2,prod,cosine,0.8905667420696088,3.924595667005633
contextual,EMBEDDIA/crosloengual-bert,en,3,prod,cosine,0.2392838981316574,3.598730917001376
contextual,EMBEDDIA/crosloengual-bert,en,4,prod,cosine,0.4113376594025981,4.008421250007814
contextual,EMBEDDIA/crosloengual-bert,en,5,prod,cosine,0.2183760805557708,3.7981168330006767
contextual,EMBEDDIA/crosloengual-bert,en,6,prod,cosine,0.6656310982456605,3.933547082997393
contextual,EMBEDDIA/crosloengual-bert,en,7,prod,cosine,-0.0146116519869508,3.7778247079986618
contextual,EMBEDDIA/crosloengual-bert,en,8,prod,cosine,0.615465590306042,3.7271127919957503
contextual,EMBEDDIA/crosloengual-bert,en,9,prod,cosine,-0.3057681030288597,3.75894841599802
contextual,EMBEDDIA/crosloengual-bert,en,10,prod,cosine,0.6681534851835385,3.939088333005202
contextual,bert-base-cased,en,0,prod,cosine,-0.0231720727448974,3.457619708002312
contextual,bert-base-cased,en,1,prod,cosine,-0.046722562421493,3.1338242500060005
contextual,bert-base-cased,en,2,prod,cosine,-0.1530243554074273,4.570912665993092
contextual,bert-base-cased,en,3,prod,cosine,0.1800741481415093,3.1674090000014985
contextual,bert-base-cased,en,4,prod,cosine,-0.1183181135982238,3.0930641669983743
contextual,bert-base-cased,en,5,prod,cosine,0.3147004869445478,3.337211500009289
contextual,bert-base-cased,en,6,prod,cosine,0.0227170381717042,3.460972416010918
contextual,bert-base-cased,en,7,prod,cosine,0.1221042344491747,3.4280018339923117
contextual,bert-base-cased,en,8,prod,cosine,-0.1673270150203332,3.5828225839941297
contextual,bert-base-cased,en,9,prod,cosine,0.0,3.4232172920019366
contextual,bert-base-cased,en,10,prod,cosine,0.0,3.504367999994429
contextual,bert-base-uncased,en,0,prod,cosine,0.0865049352104911,3.2292750000051456
contextual,bert-base-uncased,en,1,prod,cosine,0.2872446645604839,3.3926319169986527
contextual,bert-base-uncased,en,2,prod,cosine,0.2296172875934621,3.540091791001032
contextual,bert-base-uncased,en,3,prod,cosine,0.305899110518407,3.4884057080053026
contextual,bert-base-uncased,en,4,prod,cosine,0.408620739585211,3.401925375001156
contextual,bert-base-uncased,en,5,prod,cosine,0.6076217722667296,3.4520054169988725
contextual,bert-base-uncased,en,6,prod,cosine,0.2021244309373864,3.3494084580015624
contextual,bert-base-uncased,en,7,prod,cosine,0.4426544057768098,3.4130047090002336
contextual,bert-base-uncased,en,8,prod,cosine,-0.016191378310328,3.429617582994979
contextual,bert-base-uncased,en,9,prod,cosine,0.2679854214147823,3.446730833995389
contextual,bert-base-uncased,en,10,prod,cosine,-0.2104881428431886,3.330138833000092
contextual,bert-large-cased,en,0,prod,cosine,0.047996956119972,7.2102692920016125
contextual,bert-large-cased,en,1,prod,cosine,0.3573964166574223,7.9180711660010274
contextual,bert-large-cased,en,2,prod,cosine,0.5525324074255162,7.648628417009604
contextual,bert-large-cased,en,3,prod,cosine,0.5438914711213931,7.038161457996466
contextual,bert-large-cased,en,4,prod,cosine,0.11291027627165,7.540374417003477
contextual,bert-large-cased,en,5,prod,cosine,0.5003508017836302,8.047337458003312
contextual,bert-large-cased,en,6,prod,cosine,0.2941432476186568,7.733812749997014
contextual,bert-large-cased,en,7,prod,cosine,0.8141398465433621,7.895844124999712
contextual,bert-large-cased,en,8,prod,cosine,0.0688718078725783,7.415219833012088
contextual,bert-large-cased,en,9,prod,cosine,0.7564184567032688,7.81691533299454
contextual,bert-large-cased,en,10,prod,cosine,0.3458431804254953,7.471755584003404
contextual,bert-large-uncased,en,0,prod,cosine,-0.2645377491575125,7.1126242090103915
contextual,bert-large-uncased,en,1,prod,cosine,-0.1517710419037687,7.527768374988227
contextual,bert-large-uncased,en,2,prod,cosine,0.0130706717927151,7.497810540997307
contextual,bert-large-uncased,en,3,prod,cosine,-0.3373323131346559,7.145676165993791
contextual,bert-large-uncased,en,4,prod,cosine,0.0883487292569489,7.666008040992892
contextual,bert-large-uncased,en,5,prod,cosine,0.4442945384013035,7.400084207998589
contextual,bert-large-uncased,en,6,prod,cosine,-0.0606601207201511,8.007991916994797
contextual,bert-large-uncased,en,7,prod,cosine,0.2681790782420152,8.34493491599278
contextual,bert-large-uncased,en,8,prod,cosine,0.4962133990877817,7.792223833996104
contextual,bert-large-uncased,en,9,prod,cosine,0.3956556204513104,7.845405875006691
contextual,bert-large-uncased,en,10,prod,cosine,0.3777464640261463,7.384083416996873
contextual,bert-large-cased-whole-word-masking,en,0,prod,cosine,-0.1193209496355147,7.383711625006981
contextual,bert-large-cased-whole-word-masking,en,1,prod,cosine,-0.069369690019698,8.085375416994793
contextual,bert-large-cased-whole-word-masking,en,2,prod,cosine,-0.1487159994113431,7.300145834000432
contextual,bert-large-cased-whole-word-masking,en,3,prod,cosine,0.1673272732130641,7.72780320799211
contextual,bert-large-cased-whole-word-masking,en,4,prod,cosine,0.3516469075910984,7.414910791994771
contextual,bert-large-cased-whole-word-masking,en,5,prod,cosine,-0.3197599844940888,7.90990920799959
contextual,bert-large-cased-whole-word-masking,en,6,prod,cosine,-0.1673270150203332,7.836940416003927
contextual,bert-large-cased-whole-word-masking,en,7,prod,cosine,0.0,7.863595957998768
contextual,bert-large-cased-whole-word-masking,en,8,prod,cosine,0.0,8.309283958005835
contextual,bert-large-cased-whole-word-masking,en,9,prod,cosine,0.7411635118474704,7.713400416992954
contextual,bert-large-cased-whole-word-masking,en,10,prod,cosine,0.3871367152128127,7.805746958008967
contextual,bert-large-uncased-whole-word-masking,en,0,prod,cosine,0.0664658086116782,7.40884141701099
contextual,bert-large-uncased-whole-word-masking,en,1,prod,cosine,0.3795504736879993,7.439439624999068
contextual,bert-large-uncased-whole-word-masking,en,2,prod,cosine,0.3975319647615527,7.494782166992081
contextual,bert-large-uncased-whole-word-masking,en,3,prod,cosine,0.3788412735085082,7.696764833002817
contextual,bert-large-uncased-whole-word-masking,en,4,prod,cosine,0.7561671155860404,7.733351082992158
contextual,bert-large-uncased-whole-word-masking,en,5,prod,cosine,0.4816912589413733,7.650101999999606
contextual,bert-large-uncased-whole-word-masking,en,6,prod,cosine,0.754089665453603,7.220644667002489
contextual,bert-large-uncased-whole-word-masking,en,7,prod,cosine,0.0605765342083297,7.193299042002764
contextual,bert-large-uncased-whole-word-masking,en,8,prod,cosine,-0.1646987492592406,7.086476791999303
contextual,bert-large-uncased-whole-word-masking,en,9,prod,cosine,0.0,7.592029833002016
contextual,bert-large-uncased-whole-word-masking,en,10,prod,cosine,0.1994538019042371,7.954890790992067
contextual,bert-base-multilingual-cased,hr,0,prod,cosine,0.4247590151979505,2.739210790998186
contextual,bert-base-multilingual-cased,hr,1,prod,cosine,0.2429374386188078,2.733646792010404
contextual,bert-base-multilingual-cased,hr,2,prod,cosine,0.1231396191431751,3.149402958995779
contextual,bert-base-multilingual-cased,hr,3,prod,cosine,0.376722735316408,3.0488272499933373
contextual,bert-base-multilingual-cased,hr,4,prod,cosine,0.1098699791131303,2.896016917002271
contextual,bert-base-multilingual-cased,hr,5,prod,cosine,0.2834271117114715,2.9522464589972515
contextual,bert-base-multilingual-cased,hr,6,prod,cosine,0.2112516278883002,2.871938541997224
contextual,bert-base-multilingual-cased,hr,7,prod,cosine,0.3750279131573208,2.830193040994345
contextual,bert-base-multilingual-cased,hr,8,prod,cosine,0.3077606958834418,2.9045230420015287
contextual,bert-base-multilingual-cased,hr,9,prod,cosine,0.5911166885997958,2.883762375000515
contextual,bert-base-multilingual-cased,hr,10,prod,cosine,0.2147446195307445,3.0163552919984795
contextual,bert-base-multilingual-uncased,hr,0,prod,cosine,0.1600514365661456,3.4131763750046957
contextual,bert-base-multilingual-uncased,hr,1,prod,cosine,-0.163248945708597,2.7355074170045555
contextual,bert-base-multilingual-uncased,hr,2,prod,cosine,-0.7112170559621296,2.685175958002219
contextual,bert-base-multilingual-uncased,hr,3,prod,cosine,-0.8066693232608044,2.893637208995642
contextual,bert-base-multilingual-uncased,hr,4,prod,cosine,-0.8039153242116308,2.734811415997683
contextual,bert-base-multilingual-uncased,hr,5,prod,cosine,-0.6353386139760029,2.4719840840116376
contextual,bert-base-multilingual-uncased,hr,6,prod,cosine,-0.3546003083751707,2.6727853330085054
contextual,bert-base-multilingual-uncased,hr,7,prod,cosine,-0.2964547162221651,2.746726958008366
contextual,bert-base-multilingual-uncased,hr,8,prod,cosine,0.1792651750007566,2.6985355409997283
contextual,bert-base-multilingual-uncased,hr,9,prod,cosine,0.0136027945322101,2.7126300410018303
contextual,bert-base-multilingual-uncased,hr,10,prod,cosine,0.0685541992785402,2.855018875008682
contextual,EMBEDDIA/crosloengual-bert,hr,0,prod,cosine,0.7404316883819039,2.4014494590082904
contextual,EMBEDDIA/crosloengual-bert,hr,1,prod,cosine,0.5753458842234397,2.4656637079897337
contextual,EMBEDDIA/crosloengual-bert,hr,2,prod,cosine,0.4380273268447345,2.4859857090050355
contextual,EMBEDDIA/crosloengual-bert,hr,3,prod,cosine,0.5519831050731047,2.402500832991791
contextual,EMBEDDIA/crosloengual-bert,hr,4,prod,cosine,0.56571415351191,2.465974582999479
contextual,EMBEDDIA/crosloengual-bert,hr,5,prod,cosine,0.7494794874994953,2.4585722499905387
contextual,EMBEDDIA/crosloengual-bert,hr,6,prod,cosine,0.6695475080635932,2.5722722909995355
contextual,EMBEDDIA/crosloengual-bert,hr,7,prod,cosine,0.550572975295521,2.2761882500053616
contextual,EMBEDDIA/crosloengual-bert,hr,8,prod,cosine,0.2298715686638865,2.418506874993909
contextual,EMBEDDIA/crosloengual-bert,hr,9,prod,cosine,-0.3539768832486059,2.3556606250058394
contextual,EMBEDDIA/crosloengual-bert,hr,10,prod,cosine,0.2722892393661811,2.486037792012212
contextual,classla/bcms-bertic,hr,0,prod,cosine,-0.2840605719164453,2.0988939580129227
contextual,classla/bcms-bertic,hr,1,prod,cosine,0.6406631632379659,2.178760416005389
contextual,classla/bcms-bertic,hr,2,prod,cosine,0.7632096818276133,2.374607958001434
contextual,classla/bcms-bertic,hr,3,prod,cosine,0.6021516131377891,2.263961125005153
contextual,classla/bcms-bertic,hr,4,prod,cosine,0.0676581130232689,2.152007166005206
contextual,classla/bcms-bertic,hr,5,prod,cosine,0.0622641817916117,2.313975875003962
contextual,classla/bcms-bertic,hr,6,prod,cosine,-0.1672338317534176,2.2736648749996675
contextual,classla/bcms-bertic,hr,7,prod,cosine,0.0,2.274534083000617
contextual,classla/bcms-bertic,hr,8,prod,cosine,0.0,2.386143332987558
contextual,classla/bcms-bertic,hr,9,prod,cosine,0.0,2.24957312499464
contextual,classla/bcms-bertic,hr,10,prod,cosine,0.1672335761751751,2.29738112501218
contextual,bert-base-multilingual-cased,sl,0,prod,cosine,0.7948685621676193,2.828305625007488
contextual,bert-base-multilingual-cased,sl,1,prod,cosine,0.8134867421273716,2.8098719580011675
contextual,bert-base-multilingual-cased,sl,2,prod,cosine,0.5063596658494243,2.924106334001408
contextual,bert-base-multilingual-cased,sl,3,prod,cosine,0.8304560586508998,2.938345083006425
contextual,bert-base-multilingual-cased,sl,4,prod,cosine,-0.3148477459925487,2.876272291992791
contextual,bert-base-multilingual-cased,sl,5,prod,cosine,0.6852682379502871,2.858429084008094
contextual,bert-base-multilingual-cased,sl,6,prod,cosine,-0.2192573336241696,2.9207577500055777
contextual,bert-base-multilingual-cased,sl,7,prod,cosine,0.6608203780820485,2.7959998750011437
contextual,bert-base-multilingual-cased,sl,8,prod,cosine,-0.3737215177019719,2.8820436669921037
contextual,bert-base-multilingual-cased,sl,9,prod,cosine,0.6203783159158484,2.8600219159998232
contextual,bert-base-multilingual-cased,sl,10,prod,cosine,-0.976538490401864,2.8326593749952735
contextual,bert-base-multilingual-uncased,sl,0,prod,cosine,0.7636689974773688,2.6451529170008143
contextual,bert-base-multilingual-uncased,sl,1,prod,cosine,0.7601098149758907,2.6004662079940317
contextual,bert-base-multilingual-uncased,sl,2,prod,cosine,-0.3907352126716523,2.6841629999980796
contextual,bert-base-multilingual-uncased,sl,3,prod,cosine,0.1651801832267563,2.825977750006132
contextual,bert-base-multilingual-uncased,sl,4,prod,cosine,-0.170807727340555,2.768647624994628
contextual,bert-base-multilingual-uncased,sl,5,prod,cosine,-0.1771647896097123,2.653017042001011
contextual,bert-base-multilingual-uncased,sl,6,prod,cosine,-0.1581527665141953,3.512508291998529
contextual,bert-base-multilingual-uncased,sl,7,prod,cosine,0.0002170980268625,2.6803029160073493
contextual,bert-base-multilingual-uncased,sl,8,prod,cosine,-0.0471345282911517,2.6582847090030555
contextual,bert-base-multilingual-uncased,sl,9,prod,cosine,0.0758766210367885,2.8410751670016907
contextual,bert-base-multilingual-uncased,sl,10,prod,cosine,0.0694869697533224,2.658412374992622
contextual,EMBEDDIA/crosloengual-bert,sl,0,prod,cosine,0.5763190063029374,2.317063416005112
contextual,EMBEDDIA/crosloengual-bert,sl,1,prod,cosine,0.6910712926427297,2.24895833399205
contextual,EMBEDDIA/crosloengual-bert,sl,2,prod,cosine,0.7972430672228873,2.415499209004338
contextual,EMBEDDIA/crosloengual-bert,sl,3,prod,cosine,0.4170446810923318,2.342446791997645
contextual,EMBEDDIA/crosloengual-bert,sl,4,prod,cosine,-0.3895451436573807,2.4938956659898395
contextual,EMBEDDIA/crosloengual-bert,sl,5,prod,cosine,0.3996595986394015,2.273414374998538
contextual,EMBEDDIA/crosloengual-bert,sl,6,prod,cosine,-0.403907624901564,2.840479000005871
contextual,EMBEDDIA/crosloengual-bert,sl,7,prod,cosine,0.5489407236377385,2.3305740840005456
contextual,EMBEDDIA/crosloengual-bert,sl,8,prod,cosine,0.2636676345388461,2.306173042001319
contextual,EMBEDDIA/crosloengual-bert,sl,9,prod,cosine,0.4364016778398527,2.4162594999943394
contextual,EMBEDDIA/crosloengual-bert,sl,10,prod,cosine,0.3666527417161206,2.345746250008233
