model,model_name,language,window,operation,similarity,score,time
pooled,bert-base-multilingual-cased,hr,0,prod,cosine,0.5078153692432515,2.5032278330181725
pooled,bert-base-multilingual-cased,hr,1,prod,cosine,0.0558510204102273,2.5059911659918725
pooled,bert-base-multilingual-cased,hr,2,prod,cosine,0.4124335434637702,2.601442249986576
pooled,bert-base-multilingual-cased,hr,3,prod,cosine,0.0557366094643962,2.6355202500126325
pooled,bert-base-multilingual-cased,hr,4,prod,cosine,0.0,2.6528478330001235
pooled,bert-base-multilingual-cased,hr,5,prod,cosine,-0.0617499405388384,2.6924113749992102
pooled,bert-base-multilingual-cased,hr,6,prod,cosine,0.0557366094643962,2.7234143750101794
pooled,bert-base-multilingual-cased,hr,7,prod,cosine,0.0,2.775556917011272
pooled,bert-base-multilingual-cased,hr,8,prod,cosine,0.0,2.790531833015848
pooled,bert-base-multilingual-cased,hr,9,prod,cosine,0.0,3.058203583001159
pooled,bert-base-multilingual-cased,hr,10,prod,cosine,0.0,2.7247882910014596
pooled,bert-base-multilingual-uncased,hr,0,prod,cosine,0.5360078815949468,2.752082666003844
pooled,bert-base-multilingual-uncased,hr,1,prod,cosine,-0.1757509237433221,2.6987785829987843
pooled,bert-base-multilingual-uncased,hr,2,prod,cosine,0.2372915785038689,2.599343250010861
pooled,bert-base-multilingual-uncased,hr,3,prod,cosine,0.0835040103069748,2.632185541995568
pooled,bert-base-multilingual-uncased,hr,4,prod,cosine,-0.0557366094643962,2.7379507499863394
pooled,bert-base-multilingual-uncased,hr,5,prod,cosine,0.0,2.6614085840119515
pooled,bert-base-multilingual-uncased,hr,6,prod,cosine,0.3238153322118041,2.8106133329856675
pooled,bert-base-multilingual-uncased,hr,7,prod,cosine,0.1672335761751751,2.7725378339819144
pooled,bert-base-multilingual-uncased,hr,8,prod,cosine,0.0557366094643962,2.738549208996119
pooled,bert-base-multilingual-uncased,hr,9,prod,cosine,0.0,2.705426125001395
pooled,bert-base-multilingual-uncased,hr,10,prod,cosine,0.0,2.534455666987924
pooled,EMBEDDIA/crosloengual-bert,hr,0,prod,cosine,0.7417866351759317,2.2183822079969104
pooled,EMBEDDIA/crosloengual-bert,hr,1,prod,cosine,0.6746522763451793,2.285436540987575
pooled,EMBEDDIA/crosloengual-bert,hr,2,prod,cosine,0.3790531829532564,2.356215167004848
pooled,EMBEDDIA/crosloengual-bert,hr,3,prod,cosine,0.1915038765979977,2.322570042015286
pooled,EMBEDDIA/crosloengual-bert,hr,4,prod,cosine,0.1950358962961619,2.5859195000084583
pooled,EMBEDDIA/crosloengual-bert,hr,5,prod,cosine,0.1656936699186867,2.228687540977262
pooled,EMBEDDIA/crosloengual-bert,hr,6,prod,cosine,0.0575497956415437,2.4007350000028964
pooled,EMBEDDIA/crosloengual-bert,hr,7,prod,cosine,0.0,2.3780082919984125
pooled,EMBEDDIA/crosloengual-bert,hr,8,prod,cosine,0.0,2.5889375830010977
pooled,EMBEDDIA/crosloengual-bert,hr,9,prod,cosine,0.4022074250538865,2.2943865839915816
pooled,EMBEDDIA/crosloengual-bert,hr,10,prod,cosine,-0.2950554178377294,2.5022225840075407
pooled,classla/bcms-bertic,hr,0,prod,cosine,0.1621811199870141,2.0161629999929573
pooled,classla/bcms-bertic,hr,1,prod,cosine,0.6106189566324985,2.1733491249906365
pooled,classla/bcms-bertic,hr,2,prod,cosine,0.5653920279881487,2.355490957997972
pooled,classla/bcms-bertic,hr,3,prod,cosine,0.9181526435074946,2.133304916002089
pooled,classla/bcms-bertic,hr,4,prod,cosine,0.6110930472039995,2.2585229169926606
pooled,classla/bcms-bertic,hr,5,prod,cosine,-0.1653425412577842,2.1287556249881163
pooled,classla/bcms-bertic,hr,6,prod,cosine,0.0,2.2321255409915466
pooled,classla/bcms-bertic,hr,7,prod,cosine,0.0,2.3677166669804137
pooled,classla/bcms-bertic,hr,8,prod,cosine,0.1672335761751751,2.245257833012147
pooled,classla/bcms-bertic,hr,9,prod,cosine,0.1672335761751751,2.258887500007404
pooled,classla/bcms-bertic,hr,10,prod,cosine,0.0557366094643962,2.1456537499907427
