sim_context1	sim_context2	change
3.33	5.56	2.2299999999999995
1.36	1.67	0.30999999999999983
9.85	8.33	-1.5199999999999996
8.0	6.85	-1.1500000000000004
4.0	1.36	-2.6399999999999997
5.37	3.67	-1.7000000000000002
7.83	7.59	-0.2400000000000002
7.33	6.48	-0.8499999999999996
5.67	1.48	-4.1899999999999995
1.06	3.33	2.27
7.83	8.7	0.8699999999999992
3.67	5.56	1.8899999999999997
2.58	2.27	-0.31000000000000005
8.03	1.82	-6.209999999999999
7.33	6.06	-1.2700000000000005
8.33	6.3	-2.0300000000000002
1.0	3.7	2.7
4.67	6.85	2.1799999999999997
1.3	4.0	2.7
8.33	8.89	0.5600000000000005
1.3	4.17	2.87
0.833	1.06	0.2270000000000001
0.667	7.88	7.213
8.67	6.67	-2.0
2.5	5.93	3.4299999999999997
6.5	4.44	-2.0599999999999996
8.17	8.48	0.3100000000000005
7.41	8.5	1.0899999999999999
9.63	8.33	-1.3000000000000007
4.55	1.06	-3.4899999999999998
9.09	6.21	-2.88
6.85	4.67	-2.1799999999999997
3.52	2.33	-1.19
5.15	3.79	-1.3600000000000003
1.52	4.09	2.57
3.67	4.55	0.8799999999999999
6.17	3.79	-2.38
5.0	8.33	3.33
3.17	1.3	-1.8699999999999999
0.909	0.303	-0.6060000000000001
1.67	1.3	-0.3699999999999999
8.0	4.07	-3.9299999999999997
2.17	2.22	0.050000000000000266
2.22	8.0	5.779999999999999
8.5	3.48	-5.02
7.12	4.24	-2.88
1.5	9.55	8.05
5.0	6.97	1.9699999999999998
3.83	3.18	-0.6499999999999999
5.33	5.37	0.040000000000000036
6.82	9.09	2.2699999999999996
0.758	0.303	-0.455
4.0	3.94	-0.06000000000000005
2.5	5.0	2.5
7.67	6.48	-1.1899999999999995
2.67	5.19	2.5200000000000005
9.0	10.0	1.0
1.83	3.79	1.96
5.67	0.909	-4.761
8.0	9.09	1.0899999999999999
4.33	5.0	0.6699999999999999
2.17	3.7	1.5300000000000002
3.89	9.33	5.4399999999999995
4.85	9.55	4.700000000000001
8.5	8.33	-0.16999999999999993
5.67	2.22	-3.4499999999999997
4.39	1.06	-3.3299999999999996
9.24	8.33	-0.9100000000000001
6.67	7.41	0.7400000000000002
9.07	2.83	-6.24
4.5	7.41	2.91
6.36	5.91	-0.4500000000000002
5.0	4.24	-0.7599999999999998
0.37	3.33	2.96
4.7	4.55	-0.15000000000000036
3.17	2.42	-0.75
1.67	2.78	1.1099999999999999
9.0	7.22	-1.7800000000000002
2.33	2.27	-0.06000000000000005
8.0	5.61	-2.3899999999999997
5.5	4.7	-0.7999999999999998
3.67	3.64	-0.029999999999999805
1.97	4.09	2.12
0.167	0.0	-0.167
2.22	2.33	0.10999999999999988
3.5	3.33	-0.16999999999999993
5.83	7.59	1.7599999999999998
1.21	2.88	1.67
4.67	9.55	4.880000000000001
5.67	9.44	3.7699999999999996
8.0	4.44	-3.5599999999999996
6.97	4.7	-2.2699999999999996
4.09	2.42	-1.67
5.3	4.7	-0.5999999999999996
6.17	6.52	0.34999999999999964
5.15	5.3	0.14999999999999947
4.17	3.7	-0.46999999999999975
3.33	5.0	1.67
5.74	4.33	-1.4100000000000001
0.167	6.3	6.133
6.3	3.83	-2.4699999999999998
7.0	4.81	-2.1900000000000004
2.83	1.97	-0.8600000000000001
7.88	9.24	1.3600000000000003
4.83	3.18	-1.65
6.36	5.3	-1.0600000000000005
3.33	3.33	0.0
3.83	1.36	-2.4699999999999998
3.0	2.22	-0.7799999999999998
4.67	3.15	-1.52
9.5	8.18	-1.3200000000000003
