model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,sl,0,concat,cosine,0.7948685621676193,2.7003117499989457
contextual,bert-base-multilingual-cased,sl,1,concat,cosine,0.8268153418447208,3.0114714579976862
contextual,bert-base-multilingual-cased,sl,2,concat,cosine,0.8655956411728245,2.7456475000071805
contextual,bert-base-multilingual-cased,sl,3,concat,cosine,0.8194364642722435,2.749523999998928
contextual,bert-base-multilingual-cased,sl,4,concat,cosine,0.773086759293126,2.783823999998276
contextual,bert-base-multilingual-cased,sl,5,concat,cosine,0.7744107730634807,2.709632957994472
contextual,bert-base-multilingual-cased,sl,6,concat,cosine,0.7378437460625316,3.1938533750071656
contextual,bert-base-multilingual-cased,sl,7,concat,cosine,0.6727259470387621,2.905574292002711
contextual,bert-base-multilingual-cased,sl,8,concat,cosine,0.7240940049182186,2.8715651249949588
contextual,bert-base-multilingual-cased,sl,9,concat,cosine,0.6954253259198153,2.896270833996823
contextual,bert-base-multilingual-cased,sl,10,concat,cosine,0.6364503516127757,2.790540333997342
contextual,bert-base-multilingual-uncased,sl,0,concat,cosine,0.7636689974773688,2.64143887499813
contextual,bert-base-multilingual-uncased,sl,1,concat,cosine,0.7769234792898748,2.714152083004592
contextual,bert-base-multilingual-uncased,sl,2,concat,cosine,0.7451792803415959,2.568370082997717
contextual,bert-base-multilingual-uncased,sl,3,concat,cosine,0.6985334634731343,2.723311791996821
contextual,bert-base-multilingual-uncased,sl,4,concat,cosine,0.5455722585614449,2.785123082998325
contextual,bert-base-multilingual-uncased,sl,5,concat,cosine,0.5183350308667164,2.8527672499913024
contextual,bert-base-multilingual-uncased,sl,6,concat,cosine,0.4677652308506448,2.693859999999404
contextual,bert-base-multilingual-uncased,sl,7,concat,cosine,0.601629784199936,2.663364416992408
contextual,bert-base-multilingual-uncased,sl,8,concat,cosine,0.5516704900797149,2.7020246659958502
contextual,bert-base-multilingual-uncased,sl,9,concat,cosine,0.5512552504729713,2.6506479590025265
contextual,bert-base-multilingual-uncased,sl,10,concat,cosine,0.366340395654041,2.752604416993563
contextual,EMBEDDIA/crosloengual-bert,sl,0,concat,cosine,0.5763190063029374,2.2762026249984046
contextual,EMBEDDIA/crosloengual-bert,sl,1,concat,cosine,0.9239169470188388,2.3270950830046786
contextual,EMBEDDIA/crosloengual-bert,sl,2,concat,cosine,0.8168983704702466,2.3915432500070892
contextual,EMBEDDIA/crosloengual-bert,sl,3,concat,cosine,0.8901834456143429,2.5644447499944363
contextual,EMBEDDIA/crosloengual-bert,sl,4,concat,cosine,0.7040157897549735,2.3489294169994537
contextual,EMBEDDIA/crosloengual-bert,sl,5,concat,cosine,0.7512675521762506,2.3607229170011124
contextual,EMBEDDIA/crosloengual-bert,sl,6,concat,cosine,0.6626377102558164,2.373349749992485
contextual,EMBEDDIA/crosloengual-bert,sl,7,concat,cosine,0.6169637668184832,2.4005295829992974
contextual,EMBEDDIA/crosloengual-bert,sl,8,concat,cosine,0.8082622228657527,2.357414875004906
contextual,EMBEDDIA/crosloengual-bert,sl,9,concat,cosine,0.5834267191300859,2.361173500001314
contextual,EMBEDDIA/crosloengual-bert,sl,10,concat,cosine,0.289322942322245,2.2822878750012023
