model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,hr,0,concat,cosine,0.4454510618665306,0.2751694233658262
contextual,bert-base-multilingual-cased,hr,1,concat,cosine,0.50197541791411,0.27046382850000683
contextual,bert-base-multilingual-cased,hr,2,concat,cosine,0.5063189845549305,0.27257673958930745
contextual,bert-base-multilingual-cased,hr,3,concat,cosine,0.4904978159000401,0.2824323028305246
contextual,bert-base-multilingual-cased,hr,4,concat,cosine,0.4733656836095817,0.28818795386619706
contextual,bert-base-multilingual-cased,hr,5,concat,cosine,0.465870945778339,0.3242681904822738
contextual,bert-base-multilingual-cased,hr,6,concat,cosine,0.4697821183266959,0.28355970089277044
contextual,bert-base-multilingual-cased,hr,7,concat,cosine,0.4470480934429692,0.286572468374808
contextual,bert-base-multilingual-cased,hr,8,concat,cosine,0.4315036975121447,0.3012005810983932
contextual,bert-base-multilingual-cased,hr,9,concat,cosine,0.4103085923630034,0.2894223965803186
contextual,bert-base-multilingual-cased,hr,10,concat,cosine,0.3957887254736735,0.28683498585711015
contextual,bert-base-multilingual-uncased,hr,0,concat,cosine,0.3850116444449469,0.2979257232143157
contextual,bert-base-multilingual-uncased,hr,1,concat,cosine,0.446784180963117,0.27473926822312933
contextual,bert-base-multilingual-uncased,hr,2,concat,cosine,0.4438074385588912,0.3023017247053628
contextual,bert-base-multilingual-uncased,hr,3,concat,cosine,0.4320346468269269,0.28486412462500865
contextual,bert-base-multilingual-uncased,hr,4,concat,cosine,0.4444676063486393,0.27663295312517483
contextual,bert-base-multilingual-uncased,hr,5,concat,cosine,0.4323472778889601,0.26356021241969885
contextual,bert-base-multilingual-uncased,hr,6,concat,cosine,0.4227573541309455,0.2699894892141726
contextual,bert-base-multilingual-uncased,hr,7,concat,cosine,0.3959390284691968,0.2639425312499952
contextual,bert-base-multilingual-uncased,hr,8,concat,cosine,0.363998831800603,0.27606209895540296
contextual,bert-base-multilingual-uncased,hr,9,concat,cosine,0.3505830081348252,0.2830226919642363
contextual,bert-base-multilingual-uncased,hr,10,concat,cosine,0.3278624343364226,0.2876321700179168
contextual,EMBEDDIA/crosloengual-bert,hr,0,concat,cosine,0.4110127846787539,0.25589664174081656
contextual,EMBEDDIA/crosloengual-bert,hr,1,concat,cosine,0.6124260268571291,0.3146180375713032
contextual,EMBEDDIA/crosloengual-bert,hr,2,concat,cosine,0.6011911434024851,0.28638462091086175
contextual,EMBEDDIA/crosloengual-bert,hr,3,concat,cosine,0.5661994599011984,0.25969372730365387
contextual,EMBEDDIA/crosloengual-bert,hr,4,concat,cosine,0.5364547575921289,0.27517771911594274
contextual,EMBEDDIA/crosloengual-bert,hr,5,concat,cosine,0.5382799895387085,0.2986999281963238
contextual,EMBEDDIA/crosloengual-bert,hr,6,concat,cosine,0.5287347275969407,0.27486685602681454
contextual,EMBEDDIA/crosloengual-bert,hr,7,concat,cosine,0.4961086533495571,0.3007430074376316
contextual,EMBEDDIA/crosloengual-bert,hr,8,concat,cosine,0.4780066582289493,0.3295317016428661
contextual,EMBEDDIA/crosloengual-bert,hr,9,concat,cosine,0.4511442544704143,0.482776946053491
contextual,EMBEDDIA/crosloengual-bert,hr,10,concat,cosine,0.4318868123064776,0.5016411685267356
contextual,classla/bcms-bertic,hr,0,concat,cosine,0.2158598103391587,0.44402245907128546
contextual,classla/bcms-bertic,hr,1,concat,cosine,0.282460050433008,0.3798580479911574
contextual,classla/bcms-bertic,hr,2,concat,cosine,0.2580896610921759,0.46887566741081954
contextual,classla/bcms-bertic,hr,3,concat,cosine,0.2183773503772624,0.4037005156250026
contextual,classla/bcms-bertic,hr,4,concat,cosine,0.2080719422405356,0.3857645866784359
contextual,classla/bcms-bertic,hr,5,concat,cosine,0.1883691106689298,0.35324482625895015
contextual,classla/bcms-bertic,hr,6,concat,cosine,0.1946496095089916,0.4293574140623864
contextual,classla/bcms-bertic,hr,7,concat,cosine,0.2217229242191619,0.4425054237321352
contextual,classla/bcms-bertic,hr,8,concat,cosine,0.1791887130511895,0.3705913266338549
contextual,classla/bcms-bertic,hr,9,concat,cosine,0.2177173280861513,0.2588760915179072
contextual,classla/bcms-bertic,hr,10,concat,cosine,0.2103772149100334,0.30686896019636023
