score,time,context_window_size,context_window_operation,similarity_measure,model_name
,79.70691712500047,50,prod,cosine,bert-base-cased
0.5735855323242984,85.59270891699998,1,mean,cosine,bert-base-multilingual-cased
0.57358553232272,80.88037162500041,1,sum,cosine,bert-base-multilingual-cased
0.5708872084146817,84.00293529100236,2,sum,cosine,bert-base-multilingual-cased
0.5708871640885903,82.61352125000121,2,mean,cosine,bert-base-multilingual-cased
0.5566451925211298,216.53884637500232,2,mean,cosine,bert-large-cased-whole-word-masking
0.5559957621979599,82.98381441699894,1,sum,cosine,bert-base-cased
0.5559957488356375,84.55199058300059,1,mean,cosine,bert-base-cased
0.5512541340793723,85.57728537500225,2,mean,cosine,bert-base-cased
0.551254105764567,83.5179717079991,2,sum,cosine,bert-base-cased
0.5262751443287728,78.6844809159993,0,none,cosine,bert-base-multilingual-cased
0.5238791677769622,80.80350237499806,5,sum,cosine,bert-base-cased
0.5238791576541241,80.35969370800012,5,mean,cosine,bert-base-cased
0.5167381861794283,81.93920695800261,5,mean,cosine,bert-base-multilingual-cased
0.516738177285097,80.08513674999995,5,sum,cosine,bert-base-multilingual-cased
0.49768515633592103,76.37900362499931,10,mean,cosine,bert-base-cased
0.49768515308477057,83.72347570800048,10,sum,cosine,bert-base-cased
0.47930773855338304,82.87480950000099,10,mean,cosine,bert-base-multilingual-cased
0.47930770196278716,85.56284625000262,10,sum,cosine,bert-base-multilingual-cased
0.4757272307460003,84.94616466700245,20,mean,cosine,bert-base-cased
0.47572719300309685,79.49948916699941,20,sum,cosine,bert-base-cased
0.4730628514034333,88.53760458399847,20,mean,cosine,bert-base-multilingual-cased
0.4730627924168016,78.96820429100262,20,sum,cosine,bert-base-multilingual-cased
0.4418951383691373,73.55742308299887,1,prod,cosine,bert-base-multilingual-cased
0.4327769945220148,79.4532100840006,0,none,cosine,bert-base-cased
0.34842752643872577,77.54014945900053,50,mean,cosine,bert-base-cased
0.34842729385010984,80.03337925000233,50,sum,cosine,bert-base-cased
0.33877578586758017,76.46967700000096,50,sum,cosine,bert-base-multilingual-cased
0.33877551621780855,84.16177758400227,50,mean,cosine,bert-base-multilingual-cased
0.28878591825545685,79.9741797079987,2,prod,cosine,bert-base-multilingual-cased
0.1928365057889898,86.11856658400211,5,prod,cosine,bert-base-multilingual-cased
0.16290119165038197,84.51227166600074,20,prod,cosine,bert-base-multilingual-cased
0.08645911586145072,82.49618616699809,10,prod,cosine,bert-base-multilingual-cased
0.03759473922156431,81.49280308300149,1,prod,cosine,bert-base-cased
0.03471808482055627,86.1308417500004,20,prod,cosine,bert-base-cased
0.0344681889581423,82.84231629100032,5,prod,cosine,bert-base-cased
0.022358015339721815,85.37022416599939,10,prod,cosine,bert-base-cased
-0.0014851355538025857,84.19917633300065,2,prod,cosine,bert-base-cased
-0.048344004526480466,87.24778741699993,50,prod,cosine,bert-base-multilingual-cased
,204.87085975000082,20,prod,cosine,bert-large-cased-whole-word-masking
,201.38431208300244,50,prod,cosine,bert-large-cased-whole-word-masking
0.556645075556079,202.61944691699682,2,sum,cosine,bert-large-cased-whole-word-masking
0.5494737376692701,218.2901567500012,1,mean,cosine,bert-large-cased-whole-word-masking
0.5494736852193354,217.80841241599774,1,sum,cosine,bert-large-cased-whole-word-masking
0.5370151672033427,209.87389708400224,1,sum,cosine,bert-large-cased
0.5370151593434321,196.6934784160003,1,mean,cosine,bert-large-cased
0.5329743718229782,207.57443008300106,2,mean,cosine,bert-large-cased
0.5329743557795795,201.62487733300077,2,sum,cosine,bert-large-cased
0.5246495602544422,195.9843884590009,5,sum,cosine,bert-large-cased-whole-word-masking
0.5246495392128969,204.05826491699918,5,mean,cosine,bert-large-cased-whole-word-masking
0.5044386429716061,204.90148645900263,5,mean,cosine,bert-large-cased
0.5044386174722524,196.90297166600067,5,sum,cosine,bert-large-cased
0.48074585593605923,215.74837308299902,10,mean,cosine,bert-large-cased-whole-word-masking
0.48074579360448844,209.27267629100243,10,sum,cosine,bert-large-cased-whole-word-masking
0.4747748894736983,208.14712387499821,10,mean,cosine,bert-large-cased
0.47477486734788177,218.10661999999866,10,sum,cosine,bert-large-cased
0.46992435933978105,207.73225812500095,20,sum,cosine,bert-large-cased-whole-word-masking
0.4699241233991014,185.96215829100038,20,mean,cosine,bert-large-cased-whole-word-masking
0.46717855537736785,207.03182474999994,20,sum,cosine,bert-large-cased
0.46717848950054086,200.63401225000052,20,mean,cosine,bert-large-cased
0.4143331937184591,199.7316130830004,0,none,cosine,bert-large-cased
0.36288780127421294,190.05349333400227,0,none,cosine,bert-large-cased-whole-word-masking
0.3418120469118864,198.48314445900178,50,mean,cosine,bert-large-cased-whole-word-masking
0.3418117406058654,208.88211962500282,50,sum,cosine,bert-large-cased-whole-word-masking
0.3324711305635797,209.52265012499993,50,mean,cosine,bert-large-cased
0.33247108304646067,213.6688098750019,50,sum,cosine,bert-large-cased
0.30873309843178476,212.8276510830001,1,prod,cosine,bert-large-cased
0.17932219763067236,187.34848341700126,10,prod,cosine,bert-large-cased-whole-word-masking
0.13382046603538456,213.2501619169998,50,prod,cosine,bert-large-cased
0.13304318638124368,187.4501855419985,1,prod,cosine,bert-large-cased-whole-word-masking
0.08201940567381727,208.3423165839995,2,prod,cosine,bert-large-cased
0.08100249215310495,201.20921633299804,5,prod,cosine,bert-large-cased
0.03136995463196057,199.3101283750002,2,prod,cosine,bert-large-cased-whole-word-masking
0.02604020360897419,211.04823237500023,20,prod,cosine,bert-large-cased
-0.03302715280676671,204.71094745900336,10,prod,cosine,bert-large-cased
-0.039440382215631065,184.97244124999997,5,prod,cosine,bert-large-cased-whole-word-masking
