model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,en,0,sum,cosine,0.641703316111315,3.7314389999955897
contextual,bert-base-multilingual-cased,en,1,sum,cosine,0.6404068727937154,3.9098435420019086
contextual,bert-base-multilingual-cased,en,2,sum,cosine,0.663453460101209,3.562090708001051
contextual,bert-base-multilingual-cased,en,3,sum,cosine,0.6567052863883613,3.8240358339971863
contextual,bert-base-multilingual-cased,en,4,sum,cosine,0.6546153576977133,3.752164999998058
contextual,bert-base-multilingual-cased,en,5,sum,cosine,0.6754646500920245,4.331857915996807
contextual,bert-base-multilingual-cased,en,6,sum,cosine,0.697319155760403,3.9938549999933457
contextual,bert-base-multilingual-cased,en,7,sum,cosine,0.6846552134030013,3.803417999995872
contextual,bert-base-multilingual-cased,en,8,sum,cosine,0.6653309263806844,4.01443570900301
contextual,bert-base-multilingual-cased,en,9,sum,cosine,0.669806238213568,3.7767192910105223
contextual,bert-base-multilingual-cased,en,10,sum,cosine,0.6766511675787679,3.877716541988775
contextual,bert-base-multilingual-uncased,en,0,sum,cosine,0.2288375302531879,3.732999375002691
contextual,bert-base-multilingual-uncased,en,1,sum,cosine,0.6306685929091399,4.3517309589951765
contextual,bert-base-multilingual-uncased,en,2,sum,cosine,0.6212814326161851,3.4890756660024635
contextual,bert-base-multilingual-uncased,en,3,sum,cosine,0.574468429386858,3.96813325000403
contextual,bert-base-multilingual-uncased,en,4,sum,cosine,0.6073639147936486,3.829373582993867
contextual,bert-base-multilingual-uncased,en,5,sum,cosine,0.6526367991648702,3.880878750002012
contextual,bert-base-multilingual-uncased,en,6,sum,cosine,0.6600849054024936,3.731928958004574
contextual,bert-base-multilingual-uncased,en,7,sum,cosine,0.6725349232601391,3.627070458009257
contextual,bert-base-multilingual-uncased,en,8,sum,cosine,0.672146800252111,3.8407384589954745
contextual,bert-base-multilingual-uncased,en,9,sum,cosine,0.6827655611569008,3.959215666996897
contextual,bert-base-multilingual-uncased,en,10,sum,cosine,0.6874266053424042,3.799543500004802
contextual,EMBEDDIA/crosloengual-bert,en,0,sum,cosine,0.4653582254080337,3.355540959004429
contextual,EMBEDDIA/crosloengual-bert,en,1,sum,cosine,0.7712521264054278,3.7952451250021113
contextual,EMBEDDIA/crosloengual-bert,en,2,sum,cosine,0.8380849668311872,4.203749291002168
contextual,EMBEDDIA/crosloengual-bert,en,3,sum,cosine,0.7696620608627597,3.4371610840025824
contextual,EMBEDDIA/crosloengual-bert,en,4,sum,cosine,0.7334002216100445,3.742961374999141
contextual,EMBEDDIA/crosloengual-bert,en,5,sum,cosine,0.7340905988663887,3.6499575420020847
contextual,EMBEDDIA/crosloengual-bert,en,6,sum,cosine,0.742008285504887,4.121229917000164
contextual,EMBEDDIA/crosloengual-bert,en,7,sum,cosine,0.7014551552124932,3.8958966670033983
contextual,EMBEDDIA/crosloengual-bert,en,8,sum,cosine,0.67540050961954,3.8160043340030825
