model,model_name,language,window,operation,similarity,score,time
static,bert-base-multilingual-cased,hr,0,prod,cosine,0.4177936112443869,1.460798790998524
static,bert-base-multilingual-cased,hr,1,prod,cosine,0.8362337999479856,1.5451361250015907
static,bert-base-multilingual-cased,hr,2,prod,cosine,0.8194817722458854,1.489186457998585
static,bert-base-multilingual-cased,hr,3,prod,cosine,-0.4537976736932902,1.4832070830016164
static,bert-base-multilingual-cased,hr,4,prod,cosine,-0.8270818639798461,1.4832218749943422
static,bert-base-multilingual-cased,hr,5,prod,cosine,-0.0557366094643962,1.468543042006786
static,bert-base-multilingual-cased,hr,6,prod,cosine,0.0,1.53243300000031
static,bert-base-multilingual-cased,hr,7,prod,cosine,0.0,1.4818589579954278
static,bert-base-multilingual-cased,hr,8,prod,cosine,0.0,1.4742931670043615
static,bert-base-multilingual-cased,hr,9,prod,cosine,0.7036014351538069,1.4740459159947932
static,bert-base-multilingual-cased,hr,10,prod,cosine,0.4096369294900408,1.4724042080051731
static,bert-base-multilingual-cased,hr,11,prod,cosine,0.0557366094643962,1.4972226670070086
static,bert-base-multilingual-cased,hr,12,prod,cosine,0.0,1.5021093749965075
static,bert-base-multilingual-cased,hr,13,prod,cosine,0.0,1.4682102910010144
static,bert-base-multilingual-cased,hr,14,prod,cosine,0.0,1.4781169170018984
static,bert-base-multilingual-cased,hr,15,prod,cosine,0.0,1.4545498749939725
static,bert-base-multilingual-cased,hr,16,prod,cosine,0.0,1.4695509579905774
static,bert-base-multilingual-cased,hr,17,prod,cosine,0.0,1.4899931249965448
static,bert-base-multilingual-cased,hr,18,prod,cosine,0.0,1.469707957992796
static,bert-base-multilingual-cased,hr,19,prod,cosine,0.0,1.4716564579866829
static,bert-base-multilingual-cased,hr,20,prod,cosine,0.0,1.5183872500056168
static,bert-base-multilingual-cased,hr,21,prod,cosine,0.0,1.5240641250129556
static,bert-base-multilingual-cased,hr,22,prod,cosine,0.0,1.4750709590007318
static,bert-base-multilingual-cased,hr,23,prod,cosine,0.0,1.4659544580063084
static,bert-base-multilingual-cased,hr,24,prod,cosine,0.0,1.6156965409900297
static,bert-base-multilingual-cased,hr,25,prod,cosine,0.0,1.577234166994458
static,bert-base-multilingual-cased,hr,26,prod,cosine,0.0,1.466233667000779
static,bert-base-multilingual-cased,hr,27,prod,cosine,0.0,1.4677025830023922
static,bert-base-multilingual-cased,hr,28,prod,cosine,0.0,1.5536800830013815
static,bert-base-multilingual-cased,hr,29,prod,cosine,0.0,1.537898958005826
static,bert-base-multilingual-cased,hr,30,prod,cosine,0.0,1.465987750008935
static,bert-base-multilingual-cased,hr,31,prod,cosine,0.0,1.491594624996651
static,bert-base-multilingual-cased,hr,32,prod,cosine,0.0,1.571895749992109
static,bert-base-multilingual-cased,hr,33,prod,cosine,0.0,1.5368298749963287
static,bert-base-multilingual-cased,hr,34,prod,cosine,0.0,1.60088379199442
static,bert-base-multilingual-cased,hr,35,prod,cosine,0.0,1.5081878330092875
static,bert-base-multilingual-cased,hr,36,prod,cosine,0.0,1.5273986250103917
static,bert-base-multilingual-cased,hr,37,prod,cosine,0.0,1.492964707998908
static,bert-base-multilingual-cased,hr,38,prod,cosine,0.0,1.5545234169985631
static,bert-base-multilingual-cased,hr,39,prod,cosine,0.0,1.565197874995647
static,bert-base-multilingual-cased,hr,40,prod,cosine,0.0,1.463762792001944
static,bert-base-multilingual-cased,hr,41,prod,cosine,0.0,1.514578583999537
static,bert-base-multilingual-cased,hr,42,prod,cosine,0.0,1.4910837909992551
static,bert-base-multilingual-cased,hr,43,prod,cosine,0.0,1.4830887080024695
static,bert-base-multilingual-cased,hr,44,prod,cosine,0.0,1.4959421249950535
static,bert-base-multilingual-cased,hr,45,prod,cosine,0.0,1.4909849590039812
static,bert-base-multilingual-cased,hr,46,prod,cosine,0.0,1.5023213749955175
static,bert-base-multilingual-cased,hr,47,prod,cosine,0.0,1.5799181670008693
static,bert-base-multilingual-cased,hr,48,prod,cosine,0.0,1.5354400829965016
static,bert-base-multilingual-cased,hr,49,prod,cosine,0.0,1.48654012499901
static,bert-base-multilingual-cased,hr,50,prod,cosine,0.0,1.4804990419943351
static,bert-base-multilingual-uncased,hr,0,prod,cosine,-0.0498954033720924,1.4104717500013066
static,bert-base-multilingual-uncased,hr,1,prod,cosine,-0.7708811829635809,1.3758905830036383
static,bert-base-multilingual-uncased,hr,2,prod,cosine,-0.8430049066582095,1.3886643330042716
static,bert-base-multilingual-uncased,hr,3,prod,cosine,0.02552975233605,1.4995441249920989
static,bert-base-multilingual-uncased,hr,4,prod,cosine,-0.8456160453470933,1.3839767500030575
static,bert-base-multilingual-uncased,hr,5,prod,cosine,-0.1807673820466906,1.3893167920032283
static,bert-base-multilingual-uncased,hr,6,prod,cosine,0.0,1.4182246669952292
static,bert-base-multilingual-uncased,hr,7,prod,cosine,0.0,1.4564619579905411
static,bert-base-multilingual-uncased,hr,8,prod,cosine,0.7036014351538069,1.3682030829950236
static,bert-base-multilingual-uncased,hr,9,prod,cosine,0.5757529667142399,1.3775639579980634
static,bert-base-multilingual-uncased,hr,10,prod,cosine,0.1672335761751751,1.37832316699496
static,bert-base-multilingual-uncased,hr,11,prod,cosine,0.1807673820466906,1.4092267500091111
static,bert-base-multilingual-uncased,hr,12,prod,cosine,0.0,1.4721302910038505
static,bert-base-multilingual-uncased,hr,13,prod,cosine,0.0,1.3758955840021372
static,bert-base-multilingual-uncased,hr,14,prod,cosine,0.0,1.3717143750109244
static,bert-base-multilingual-uncased,hr,15,prod,cosine,0.0,1.3811827080062358
static,bert-base-multilingual-uncased,hr,16,prod,cosine,0.0,1.4009540419938276
static,bert-base-multilingual-uncased,hr,17,prod,cosine,0.0,1.3861285830062116
static,bert-base-multilingual-uncased,hr,18,prod,cosine,0.0,1.3784914999996545
static,bert-base-multilingual-uncased,hr,19,prod,cosine,0.0,1.3650918749917764
static,bert-base-multilingual-uncased,hr,20,prod,cosine,0.0,1.548868042009417
static,bert-base-multilingual-uncased,hr,21,prod,cosine,0.0,1.3749648750090273
static,bert-base-multilingual-uncased,hr,22,prod,cosine,0.0,1.4088277499977266
static,bert-base-multilingual-uncased,hr,23,prod,cosine,0.0,1.351540040996042
static,bert-base-multilingual-uncased,hr,24,prod,cosine,0.0,1.445192249986576
static,bert-base-multilingual-uncased,hr,25,prod,cosine,0.0,1.3619643749989336
static,bert-base-multilingual-uncased,hr,26,prod,cosine,0.0,1.460956625000108
static,bert-base-multilingual-uncased,hr,27,prod,cosine,0.0,1.3699590409960365
static,bert-base-multilingual-uncased,hr,28,prod,cosine,0.0,1.393627875004313
static,bert-base-multilingual-uncased,hr,29,prod,cosine,0.0,1.6499405829963507
static,bert-base-multilingual-uncased,hr,30,prod,cosine,0.0,2.316970959000173
static,bert-base-multilingual-uncased,hr,31,prod,cosine,0.0,1.3784985840029549
static,bert-base-multilingual-uncased,hr,32,prod,cosine,0.0,1.4892951250076294
static,bert-base-multilingual-uncased,hr,33,prod,cosine,0.0,1.446804749997682
static,bert-base-multilingual-uncased,hr,34,prod,cosine,0.0,1.4096646669931945
static,bert-base-multilingual-uncased,hr,35,prod,cosine,0.0,1.4059461669967277
static,bert-base-multilingual-uncased,hr,36,prod,cosine,0.0,1.3700907500024186
static,bert-base-multilingual-uncased,hr,37,prod,cosine,0.0,1.4355712500109803
static,bert-base-multilingual-uncased,hr,38,prod,cosine,0.0,1.3798188750079134
static,bert-base-multilingual-uncased,hr,39,prod,cosine,0.0,1.3730674580001505
static,bert-base-multilingual-uncased,hr,40,prod,cosine,0.0,1.3694271660060622
static,bert-base-multilingual-uncased,hr,41,prod,cosine,0.0,1.362722332996782
static,bert-base-multilingual-uncased,hr,42,prod,cosine,0.0,1.3529838339891285
static,bert-base-multilingual-uncased,hr,43,prod,cosine,0.0,1.4746900839963928
static,bert-base-multilingual-uncased,hr,44,prod,cosine,0.0,1.356549707998056
static,bert-base-multilingual-uncased,hr,45,prod,cosine,0.0,1.374002833996201
static,bert-base-multilingual-uncased,hr,46,prod,cosine,0.0,1.4158233330090295
static,bert-base-multilingual-uncased,hr,47,prod,cosine,0.0,1.3680477919988334
static,bert-base-multilingual-uncased,hr,48,prod,cosine,0.0,1.47695808300341
static,bert-base-multilingual-uncased,hr,49,prod,cosine,0.0,1.3698489169910315
static,bert-base-multilingual-uncased,hr,50,prod,cosine,0.0,1.3638413330045296
static,EMBEDDIA/crosloengual-bert,hr,0,prod,cosine,0.1169647759450784,1.1482854999921983
static,EMBEDDIA/crosloengual-bert,hr,1,prod,cosine,0.6174978829320573,1.1406127079972066
static,EMBEDDIA/crosloengual-bert,hr,2,prod,cosine,0.5933716822050327,1.443435208988376
static,EMBEDDIA/crosloengual-bert,hr,3,prod,cosine,0.0442146940002676,1.0783519160031574
static,EMBEDDIA/crosloengual-bert,hr,4,prod,cosine,0.6308366953277054,1.0535389589931583
static,EMBEDDIA/crosloengual-bert,hr,5,prod,cosine,-0.2630907876837922,1.1380456250044515
static,EMBEDDIA/crosloengual-bert,hr,6,prod,cosine,-0.184639700848465,1.086259000003338
static,EMBEDDIA/crosloengual-bert,hr,7,prod,cosine,-0.0557366094643962,1.1400425830070162
static,EMBEDDIA/crosloengual-bert,hr,8,prod,cosine,0.0,1.136257125006523
static,EMBEDDIA/crosloengual-bert,hr,9,prod,cosine,0.0,1.1354487080097897
static,EMBEDDIA/crosloengual-bert,hr,10,prod,cosine,0.0,1.0631996669981163
static,EMBEDDIA/crosloengual-bert,hr,11,prod,cosine,0.2704821339095598,1.1138690410007257
static,EMBEDDIA/crosloengual-bert,hr,12,prod,cosine,-0.1365456431633469,1.1267582909931662
static,EMBEDDIA/crosloengual-bert,hr,13,prod,cosine,0.1672335761751751,1.1509287910012065
static,EMBEDDIA/crosloengual-bert,hr,14,prod,cosine,0.1672335761751751,1.1636185420065883
static,EMBEDDIA/crosloengual-bert,hr,15,prod,cosine,0.0557366094643962,1.1213642919901758
static,EMBEDDIA/crosloengual-bert,hr,16,prod,cosine,0.0557366094643962,1.0653635829949053
static,EMBEDDIA/crosloengual-bert,hr,17,prod,cosine,0.0,1.0741650410054715
static,EMBEDDIA/crosloengual-bert,hr,18,prod,cosine,0.0,1.1305107919906732
static,EMBEDDIA/crosloengual-bert,hr,19,prod,cosine,0.0,1.0612382090039318
static,EMBEDDIA/crosloengual-bert,hr,20,prod,cosine,0.0,1.1216045000037411
