model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,sl,0,concat,cosine,0.37116820177399346,27.792284875002224
contextual,bert-base-multilingual-cased,sl,1,concat,cosine,0.4849529741188343,31.099742165999487
contextual,bert-base-multilingual-cased,sl,2,concat,cosine,0.4884840708346383,29.274223458982306
contextual,bert-base-multilingual-cased,sl,3,concat,cosine,0.4738657129879176,31.8476247919898
contextual,bert-base-multilingual-cased,sl,4,concat,cosine,0.44441139088068293,31.636238999984926
contextual,bert-base-multilingual-cased,sl,5,concat,cosine,0.4354925058158138,33.86227791599231
contextual,bert-base-multilingual-cased,sl,6,concat,cosine,0.4149477539703076,34.03590799999074
contextual,bert-base-multilingual-cased,sl,7,concat,cosine,0.34233188013587157,33.861711459001526
contextual,bert-base-multilingual-cased,sl,8,concat,cosine,0.3262529989023317,34.00846216699574
contextual,bert-base-multilingual-cased,sl,9,concat,cosine,0.33167649447482217,32.06445791601436
contextual,bert-base-multilingual-cased,sl,10,concat,cosine,0.31220925026780866,29.83307049999712
contextual,bert-base-multilingual-uncased,sl,0,concat,cosine,0.26306206386817244,30.515470207988983
contextual,bert-base-multilingual-uncased,sl,1,concat,cosine,0.3201075170139378,32.374172499985434
contextual,bert-base-multilingual-uncased,sl,2,concat,cosine,0.36402720279194045,30.58210445800796
contextual,bert-base-multilingual-uncased,sl,3,concat,cosine,0.3612439365905491,33.69784204100142
contextual,bert-base-multilingual-uncased,sl,4,concat,cosine,0.3762106691384728,32.15235774999019
contextual,bert-base-multilingual-uncased,sl,5,concat,cosine,0.36881379872714604,32.087735542008886
contextual,bert-base-multilingual-uncased,sl,6,concat,cosine,0.2780202379304868,31.326941874984186
contextual,bert-base-multilingual-uncased,sl,7,concat,cosine,0.27992140717086245,30.82111791698844
contextual,bert-base-multilingual-uncased,sl,8,concat,cosine,0.2965511627825661,32.65589312501834
contextual,bert-base-multilingual-uncased,sl,9,concat,cosine,0.27207544700075825,30.31717112500337
contextual,bert-base-multilingual-uncased,sl,10,concat,cosine,0.24705622009289208,30.70898841600865
contextual,EMBEDDIA/crosloengual-bert,sl,0,concat,cosine,0.2900525695624675,26.508201583026676
contextual,EMBEDDIA/crosloengual-bert,sl,1,concat,cosine,0.46900831232175344,29.38281341700349
contextual,EMBEDDIA/crosloengual-bert,sl,2,concat,cosine,0.4273065598950301,29.732456208002986
contextual,EMBEDDIA/crosloengual-bert,sl,3,concat,cosine,0.4355165270753347,28.63598712501698
contextual,EMBEDDIA/crosloengual-bert,sl,4,concat,cosine,0.4040794999847165,30.648271959013073
contextual,EMBEDDIA/crosloengual-bert,sl,5,concat,cosine,0.37345995084346684,29.939782999979798
contextual,EMBEDDIA/crosloengual-bert,sl,6,concat,cosine,0.3564244493131783,30.137400125007844
contextual,EMBEDDIA/crosloengual-bert,sl,7,concat,cosine,0.3705698066407852,28.83658704199479
contextual,EMBEDDIA/crosloengual-bert,sl,8,concat,cosine,0.35231420509725275,27.35869854100747
contextual,EMBEDDIA/crosloengual-bert,sl,9,concat,cosine,0.2713806616031267,29.68650824998622
contextual,EMBEDDIA/crosloengual-bert,sl,10,concat,cosine,0.25669812398311853,31.47997512499569
