model,model_name,language,window,operation,similarity,score,time
contextual,bert-base-multilingual-cased,sl,0,sum,cosine,0.7948685621676193,3.381278665998252
contextual,bert-base-multilingual-cased,sl,1,sum,cosine,0.8286387031098886,2.736003416008316
contextual,bert-base-multilingual-cased,sl,2,sum,cosine,0.8289623848279831,2.8037817500007804
contextual,bert-base-multilingual-cased,sl,3,sum,cosine,0.789968403124854,2.8408947910065763
contextual,bert-base-multilingual-cased,sl,4,sum,cosine,0.7635086159368819,2.8915437910036417
contextual,bert-base-multilingual-cased,sl,5,sum,cosine,0.6948778534725717,2.906061540998053
contextual,bert-base-multilingual-cased,sl,6,sum,cosine,0.6529346848014486,2.8478271670028334
contextual,bert-base-multilingual-cased,sl,7,sum,cosine,0.66841097375707,2.8940425000037067
contextual,bert-base-multilingual-cased,sl,8,sum,cosine,0.6943763996403258,2.918996334003168
contextual,bert-base-multilingual-cased,sl,9,sum,cosine,0.6833495650279134,2.8262222920020577
contextual,bert-base-multilingual-cased,sl,10,sum,cosine,0.6884130709651854,2.773353625001618
contextual,bert-base-multilingual-uncased,sl,0,sum,cosine,0.7636689974773688,3.254988125001546
contextual,bert-base-multilingual-uncased,sl,1,sum,cosine,0.7179145425743789,2.664201709005283
contextual,bert-base-multilingual-uncased,sl,2,sum,cosine,0.6942976858029976,2.7164090409933124
contextual,bert-base-multilingual-uncased,sl,3,sum,cosine,0.7146695511717662,2.7590588750026654
contextual,bert-base-multilingual-uncased,sl,4,sum,cosine,0.7744396533113104,2.743428292000317
contextual,bert-base-multilingual-uncased,sl,5,sum,cosine,0.7535619489772435,2.690041082998505
contextual,bert-base-multilingual-uncased,sl,6,sum,cosine,0.7169765511952697,2.5742492499994114
contextual,bert-base-multilingual-uncased,sl,7,sum,cosine,0.7584729385966007,2.7812382919946685
contextual,bert-base-multilingual-uncased,sl,8,sum,cosine,0.7795794423660176,2.774905915997806
contextual,bert-base-multilingual-uncased,sl,9,sum,cosine,0.7491464629697508,2.733127499988768
contextual,bert-base-multilingual-uncased,sl,10,sum,cosine,0.7506409507110722,2.673302875002264
contextual,EMBEDDIA/crosloengual-bert,sl,0,sum,cosine,0.5763190063029374,2.271177250004257
contextual,EMBEDDIA/crosloengual-bert,sl,1,sum,cosine,0.8037963810578539,2.267884375003632
contextual,EMBEDDIA/crosloengual-bert,sl,2,sum,cosine,0.6671323321174302,2.36035895900568
contextual,EMBEDDIA/crosloengual-bert,sl,3,sum,cosine,0.5824693236798717,2.386974624998402
contextual,EMBEDDIA/crosloengual-bert,sl,4,sum,cosine,0.4608688790950092,2.447866166010499
contextual,EMBEDDIA/crosloengual-bert,sl,5,sum,cosine,0.4158753551420172,2.44170862500323
contextual,EMBEDDIA/crosloengual-bert,sl,6,sum,cosine,0.4274459230324299,2.3738987920078216
contextual,EMBEDDIA/crosloengual-bert,sl,7,sum,cosine,0.4712927113037308,2.2888625409977976
contextual,EMBEDDIA/crosloengual-bert,sl,8,sum,cosine,0.5327190276734417,2.288098290999187
contextual,EMBEDDIA/crosloengual-bert,sl,9,sum,cosine,0.5940974275660068,2.313718459001393
contextual,EMBEDDIA/crosloengual-bert,sl,10,sum,cosine,0.6365332308162007,2.290375291995588
